,author_name,quotes,char_length,keyword
0,Jack Butcher,Anyone telling you it's pointless to share your perspective is sharing their perspective.,89,Anxiety
1,Unknown,Knowledge is learning something everyday. Wisdom is letting go of something everyday.,85,Anxiety
2,Eckhart Tolle,"You can only lose something that you have, but you cannot lose something that you are.",86,Anxiety
3,Sonia Ricotti,"When you say yes to change, you are choosing to navigate that path peacefully and happily and see where it takes you.",117,Anxiety
4,Mary Engelbreit,Don't ever save anything for a special occasion. Being alive is the special occasion.,85,Anxiety
5,Theodore Roosevelt,"Old age is like everything else. To make a success of it, you've got to start young.",84,Anxiety
6,Candice Carpenter,Success is about creating value.,32,Anxiety
7,Dogen,Prefer to be defeated in the presence of the wise than to excel among fools.,76,Anxiety
8,Roy T. Bennett,"Success is not how high you have climbed, but how you make a positive difference to the world.",94,Anxiety
9,J.R.R. Tolkien,Not all those who wander are lost.,34,Anxiety
10,Henry Ford,"Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. ",102,Anxiety
11,William James,Our view of the world is truly shaped by what we decide to hear.,64,Anxiety
12,Brian Tracy,"Successful people are always looking for opportunities to help others. Unsuccessful people are always asking, 'What's in it for me?'",132,Anxiety
13,Criss Jami,"The older you get, the more you understand how your conscience works.",69,Anxiety
14,Woody Allen,The heart wants what it wants. There's no logic. ,49,Anxiety
15,Albert Einstein,Science can flourish only in an atmosphere of free speech. ,59,Anxiety
16,Vincent van Gogh,"Great things are not done by impulse, but by a series of small things brought together.",87,Anxiety
17,Charles Dickens,A thing constructed can only be loved after it is constructed; but a thing created is loved before it exists.,109,Anxiety
18,Barack Obama,Where you are right now doesn't have to determine where you'll end up.,70,Anxiety
19,Martin Luther,"The fewer the words, the better the prayer.",43,Anxiety
20,Rumi,Your heart is the size of an ocean. Go find yourself in its hidden depths.,74,Anxiety
21,Sathya Sai Baba,Being a good example is the best form of service.,49,Anxiety
22,Henry David Thoreau,"Rather than love, than money, than fame, give me truth.",55,Anxiety
23,"Martin Luther King, Jr.",Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,110,Anxiety
24,Seneca,All cruelty springs from weakness.  ,36,Anxiety
25,Dalai Lama,Silence is sometimes the best answer,36,Anxiety
26,Maxime Lagace,Scared people want comfort and certainty so they avoid failure. People living fully seek challenges because this is where they feel alive.,138,Anxiety
27,George Eliot,Keep true. Never be ashamed of doing right. Decide what you think is right and stick to it.,91,Anxiety
28,Epictetus,"It's not what happens to you, but how you react to it that matters.",67,Anxiety
29,Herodotus,The destiny of man is in his own soul. ,39,Anxiety
30,Bob Marley,Conquer the devils with a little thing called love.,51,Anxiety
31,John Wooden,Just try to be the best you can be; never cease trying to be the best you can be. That's in your power.,103,Anxiety
32,Osho,Creativity is the greatest rebellion in existence.,50,Anxiety
33,James Allen,Men are anxious to improve their circumstances but are unwilling to improve themselves; they therefore remain bound.,116,Anxiety
34,Celestine Chua,"Fear, uncertainty, and discomfort are your compasses toward growth.",67,Anxiety
35,Mae West,An ounce of performance is worth pounds of promises.,52,Anxiety
36,Eckhart Tolle,"Nothing ever happened in the past that can prevent you from being present now; and if the past cannot prevent you from being present now, what power does it have?",162,Anxiety
37,Charles Dickens,"There are dark shadows on the earth, but its lights are stronger in the contrast.",81,Anxiety
38,Charles Darwin,I love fools' experiments. I am always making them.,51,Anxiety
39,Rita Mae Brown,"Happiness is pretty simple: someone to love, something to do, something to look forward to.",91,Anxiety
40,Jack Kerouac,The best teacher is experience and not through someone's distorted point of view.,81,Anxiety
41,Norman Vincent Peale,Imagination is the true magic carpet.,37,Anxiety
42,Lolly Daskal,Don't blame others. it won't make you a better person.,54,Anxiety
43,Les Brown,"You must be willing to do what others won't do, to have what others won't have.",79,Anxiety
44,Colin Powell,Giving back involves a certain amount of giving up.,51,Anxiety
45,Vincent van Gogh,"Normality is a paved road: It's comfortable to walk,? but no flowers grow on it.",80,Anxiety
46,Maxime Lagace,"If you focus on results and finding shortcuts, you'll get impatient. If you focus on the process and doing the right thing, you'll be unstoppable.",146,Anxiety
47,Robin Sharma,"Ancient Rule of Twenty-one: if you do anything for twenty-one days in a row, it will be installed as a habit.",109,Anxiety
48,Roy T. Bennett,"It's only after you've stepped outside your comfort zone that you begin to change, grow, and transform.",103,Anxiety
49,Mark Twain,A clear conscience is the sure sign of a bad memory.,52,Anxiety
0,Charlie Chaplin,"If you're really truthful with yourself, it's a wonderful guidance.  ",69,Change
1,Steve Maraboli,The right thing to do and the hard thing to do are usually the same.,68,Change
2,Gary Keller,It is those who concentrate on but one thing at a time who advance in this world.,81,Change
3,Ayn Rand,The ladder of success is best climbed by stepping on the rungs of opportunity.,78,Change
4,Sun Tzu,"It is easy to love your friend, but sometimes the hardest lesson to learn is to love your enemy.",96,Change
5,Alexander Graham Bell,"Before anything else, preparation is the key to success.",56,Change
6,Charles Dickens,We forge the chains we wear in life.,36,Change
7,Colin Powell,Giving back involves a certain amount of giving up.,51,Change
8,Benjamin Franklin,"Love your enemies, for they tell you your faults.",49,Change
9,George Bernard Shaw,You use a glass mirror to see your face; you use works of art to see your soul.,79,Change
10,Roy T. Bennett,"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.",112,Change
11,Dalai Lama,"Know the rules well, so you can break them effectively.",55,Change
12,Nelson Mandela,"It is what we make out of what we have, not what we are given, that separates one person from another.",102,Change
13,Criss Jami,"If you're waiting until you feel talented enough to make it, you'll never make it.",82,Change
14,Anne Frank,"In the long run, the sharpest weapon of all is a kind and gentle spirit.",72,Change
15,Seneca,"We are always complaining that our days are few, and acting as though there would be no end of them.  ",102,Change
16,Theodore Roosevelt,"When you're at the end of your rope, tie a knot and hold on.",60,Change
17,Isaac Newton,We build too many walls and not enough bridges.,47,Change
18,William James,"When you have to make a choice and don't make it, that is in itself a choice.",77,Change
19,Les Brown,Know your gifts and share them.,31,Change
20,Dr. Seuss,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose.,107,Change
21,Osho,Be - don't try to become ,25,Change
22,Albert Einstein,Science can flourish only in an atmosphere of free speech. ,59,Change
23,Epictetus,"It is the nature of the wise to resist pleasures, but the foolish to be a slave to them.",88,Change
24,Confucius,"Before you embark on a journey of revenge, dig two graves. ",59,Change
25,Richard Bach,"If your happiness depends on what somebody else does, I guess you do have a problem.",84,Change
26,Theodore Roosevelt,Let us rather run the risk of wearing out than rusting out.,59,Change
27,Charles Dickens,No one is useless in this world who lightens the burdens of another.,68,Change
28,Colin Powell,"Surround yourself with people who take their work seriously, but not themselves, those who work hard and play hard.",115,Change
29,Thomas Jefferson,Nothing gives one person so much advantage over another as to remain always cool and unruffled under all circumstances.,119,Change
30,Eleanor Roosevelt,It's your life-but only if you make it so.,42,Change
31,Niccolo Machiavelli,He who wishes to be obeyed must know how to command.,52,Change
32,Eleanor Roosevelt,Do one thing every day that scares you.,39,Change
33,D. H. Lawrence,"Money poisons you when you've got it, and starves you when you haven't.",71,Change
34,Kahlil Gibran,"Yesterday is but today's memory, tomorrow is today's dream.",59,Change
35,Rumi,Your heart is the size of an ocean. Go find yourself in its hidden depths.,74,Change
36,Napoleon Hill,"If you do not conquer self, you will be conquered by self.",58,Change
37,Colin Powell,Always show more kindness than seems necessary because the person receiving it needs it more than you will ever know.,117,Change
38,Criss Jami,"If ever you feel like an animal among men, be a lion.",53,Change
39,Vince Lombardi,"The harder you work, the harder it is to surrender.",51,Change
40,James Allen,No duty is more urgent than that of returning thanks.,53,Change
41,Euripides,Talk sense to a fool and he calls you foolish.,46,Change
42,Og Mandino,Never settle for the crumbs of life.,36,Change
43,Lin Yutang,The wise man reads both books and life itself.,46,Change
44,Coco Chanel,Great loves too must be endured.,32,Change
45,Rumi,"If light is in your heart, you will find your way home.  ",57,Change
46,Samuel Butler,"To himself everyone is immortal; he may know that he is going to die, but he can never know he is dead.",103,Change
47,Alfred Adler,All problems are interpersonal relationship problems.,53,Change
48,Jack Kerouac,The best teacher is experience and not through someone's distorted point of view.,81,Change
49,Ronald Reagan,"Trust, but verify.",18,Change
0,Brian Tracy,Spend eighty percent of your time focusing on the opportunities of tomorrow rather than the problems of yesterday.,114,Choice
1,Lolly Daskal,Focus on how far you have come in life rather than looking at the accomplishments of others.,92,Choice
2,Virginia Woolf,"When you consider things like the stars, our affairs don't seem to matter very much, do they?",93,Choice
3,Elbert Hubbard,"If you want work well done, select a busy man; the other kind has no time.",74,Choice
4,Charles Spurgeon,"Our anxiety does not empty tomorrow of its sorrows, but only empties today of its strengths.",92,Choice
5,Steve Jobs,Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose.,118,Choice
6,Thomas Edison,Many of life's failures are people who did not realize how close they were to success when they gave up.,104,Choice
7,Cherie Gilderbloom,The best dreams happen when you're awake.,41,Choice
8,Shahir Zag,A tiger doesn't lose sleep over the opinion of sheep.,53,Choice
9,Naval Ravikant,This is such a short and precious life that it's really important that you don't spend it being unhappy.,104,Choice
10,Zen Proverb,Your home is where your thoughts find peace.,44,Choice
11,Oprah Winfrey,"The more you praise and celebrate your life, the more there is in life to celebrate. ",85,Choice
12,Naval Ravikant,The power to make and break habits and learning how to do that is really important.,83,Choice
13,Anita Krizzan,When it hurts - observe. Life is trying to teach you something.,63,Choice
14,Shunryu Suzuki,Life is like stepping onto a boat which is about to sail out to sea and sink.,77,Choice
15,George Bernard Shaw,Some men see things as they are and ask why. Others dream things that never were and ask why not.,97,Choice
16,Kenji Miyazawa,We must embrace pain and burn it as fuel for our journey.,57,Choice
17,Kamal Ravikant,"Pain doesn't last. And when it's gone, we have something to show for it. Growth.",80,Choice
18,Robin Sharma,"Everything is created twice, first in the mind and then in reality.",67,Choice
19,Mae West,"The score never interested me, only the game.",45,Choice
20,Isaac Newton,Live your life as an exclamation rather than an explanation.,60,Choice
21,Isaac Newton,To arrive at the simplest truth requires years of contemplation.,64,Choice
22,Publilius Syrus,"Trust, like the soul, never returns once it is gone.",52,Choice
23,Woody Allen,Eighty percent of success is showing up. ,41,Choice
24,Tony Robbins,"Identify your problems, but give your power and energy to solutions.",68,Choice
25,Eric Hoffer,"When people are free to do as they please, they usually imitate each other.",75,Choice
26,Lolly Daskal,We become what we believe.,26,Choice
27,Elon Musk,Persistence is very important. You should not give up unless you are forced to give up.,87,Choice
28,Richard Bach,"The more I want to get something done, the less I call it work.",63,Choice
29,Thomas Jefferson,Honesty is the first chapter in the book of wisdom.,51,Choice
30,Maxime Lagace,"The truly rich men are the ones who have health, loved ones and a work they love.",81,Choice
31,Zen Proverb,No snowflake ever falls in the wrong place.,43,Choice
32,Paramahansa Yogananda,Having lots of money while not having inner peace is like dying of thirst while bathing in the ocean.,101,Choice
33,Stephen King,"Amateurs sit and wait for inspiration, the rest of us just get up and got to work.",82,Choice
34,Yoko Ono,You change the world by being yourself.,39,Choice
35,Marilyn Monroe,"Keep smiling, because life is a beautiful thing and there's so much to smile about.",83,Choice
36,George Bernard Shaw,"The whole problem with the world is the fools and fanatics are always so sure of themselves, and wiser people are full of doubts.",129,Choice
37,Alexander Graham Bell,Leave the beaten track behind occasionally and dive into the woods. Every time you do you will be certain to find something you have never seen before.,151,Choice
38,Charles Dickens,A thing constructed can only be loved after it is constructed; but a thing created is loved before it exists.,109,Choice
39,Wayne Gretzky,"I skate to where the puck is going to be, not where it has been.",64,Choice
40,Mae West,An ounce of performance is worth pounds of promises.,52,Choice
41,Ming-Dao Deng,"Receive without complaint, Work with fate.",42,Choice
42,Colin Powell,"Excellence is not an exception, it is a prevailing attitude.",60,Choice
43,Plato,"Be kind, for everyone you meet is fighting a hard battle.",57,Choice
44,Winston Churchill,"The power of man has grown in every sphere, except over himself.",64,Choice
45,D. H. Lawrence,But better die than live mechanically a life that is a repetition of repetitions.,81,Choice
46,Robert Greene,We must create our own world or we will die from inaction.,58,Choice
47,Jim Rohn,Either you run the day or the day runs you.,43,Choice
48,Stephen Hawking,Remember to look up at the stars and not down at your feet.,59,Choice
49,Estee Lauder,Be strong. Be confident. Be the star of your own life.,54,Choice
0,Zhuangzi,"To be truly ignorant, be content with your own knowledge.",57,Confidence
1,Charles Dickens,Change begets change. Nothing propagates so fast.,49,Confidence
2,Maxime Lagace,"If you want peace, accept. If you want suffering, expect.",57,Confidence
3,Vincent van Gogh,There is peace even in the storm.,33,Confidence
4,Abraham Lincoln,"Things may come to those who wait, but only the things left by those who hustle.",80,Confidence
