,author_name
0,A.A. Milne
1,Abraham Lincoln
2,Adi Da Samraj
3,Alan Watts
4,Albert Einstein
5,Albus Dumbledore
6,Alexander Graham Bell
7,Alexander Pope
8,Alexandre Dumas
9,Alfred Adler
10,Amelia Earhart
11,Andrew Hendrixson
12,Anita Krizzan
13,Anne Frank
14,Anne Wilson Schaef
15,Aristotle
16,Audrey Hepburn
17,Ayn Rand
18,Babe Ruth
19,Barack Obama
20,Benjamin Franklin
21,Benjamin Mays
22,Bette Midler
23,Betty White
24,Beverly Sills
25,Billie Jean King
26,Bob Dylan
27,Bob Marley
28,Bob Proctor
29,Bodhidharma
30,Brian Tracy
31,Bruce Lee
32,Buddha
33,Candice Carpenter
34,Carl Bard
35,Carl Jung
36,Carlos Ruiz Zafon
37,Carol Burnett
38,Celestine Chua
39,Charles Darwin
40,Charles Dickens
41,Charles Spurgeon
42,Charles Swindoll
43,Charlie Chaplin
44,Cherie Gilderbloom
45,Cherralea Morgen
46,Chinese Proverb
47,Christopher Columbus
48,Christopher McCandless
49,Christopher Reeve
50,Coco Chanel
51,Colin Powell
52,Colin R. Davis
53,Confucius
54,Conrad Hilton
55,Criss Jami
56,D. H. Lawrence
57,Dalai Lama
58,Dale Carnegie
59,Dan Brown
60,David Brinkley
61,Denis Waitley
62,Dogen
63,Doug Ivester
64,Dr. Seuss
65,Dudley Field Malone
66,Earl Nightingale
67,Eckhart Tolle
68,Elbert Hubbard
69,Eleanor Roosevelt
70,Elon Musk
71,Emily Dickinson
72,Epictetus
73,Eric Hoffer
74,Estee Lauder
75,Euripides
76,F. Scott Fitzgerald
77,Franklin D. Roosevelt
78,Franz Kafka
79,G.I. Gurdjieff
80,Gabor Mate
81,Gary Keller
82,Genghis Khan
83,George Addair
84,George Bernard Shaw
85,George Eliot
86,George Washington
87,Gilbert Chesterton
88,Grace Coddington
89,Gurbaksh Chahal
90,Hans Christian Andersen
91,Helen Keller
92,Henry David Thoreau
93,Henry Ford
94,Herman Melville
95,Herodotus
96,Honore de Balzac
97,Huang Po
98,Isaac Newton
99,J.R.R. Tolkien
100,Jack Butcher
101,Jack Kerouac
102,Jack London
103,James Allen
104,James Cameron
105,James Matthew Barrie
106,Jiddu Krishnamurti
107,Jim Rohn
108,Joan Rivers
109,Johann Wolfgang von Goethe
110,John Carmack
111,John D. Rockefeller
112,John Eliot
113,John Lennon
114,John Locke
115,John Tukey
116,John Wooden
117,Jon Kabat-Zinn
118,Jonathan Swift
119,Josh Waitzkin
120,Judy Garland
121,Kahlil Gibran
122,Kamal Ravikant
123,Kenji Miyazawa
124,Kenneth Branagh
125,Kilian Jornet
126,Lao Tzu
127,Laurence J. Peter
128,Leo Tolstoy
129,Leonardo da Vinci
130,Les Brown
131,Lin Yutang
132,Lolly Daskal
133,Mae West
134,Mahatma Gandhi
135,Marcus Aurelius
136,Margaret Mead
137,Marilyn Monroe
138,Mark Twain
139,Martin Luther
140,"Martin Luther King, Jr."
141,Mary Engelbreit
142,Maxime Lagace
143,Maya Angelou
144,Meister Eckhart
145,Miguel de Cervantes
146,Ming-Dao Deng
147,Morgan Wootten
148,Mother Teresa
149,Napoleon Hill
150,Naval Ravikant
151,Neil Barringham
152,Nelson Mandela
153,Niccolo Machiavelli
154,Nicolas Chamfort
155,Nikola Tesla
156,Norman Vaughan
157,Norman Vincent Peale
158,Og Mandino
159,Oprah Winfrey
160,Orison Swett Marden
161,Oscar Wilde
162,Osho
163,Paramahansa Yogananda
164,Paulo Coelho
165,Pema Chodron
166,Peter A. Cohen
167,Plato
168,Publilius Syrus
169,Ralph Marston
170,Ralph Waldo Emerson
171,Ray Bradbury
172,Richard Bach
173,Rita Mae Brown
174,Robert Collier
175,Robert Frost
176,Robert Greene
177,Robin Sharma
178,Robin Williams
179,Roger Lee
180,Ronald Reagan
181,Rosa Nouchette Carey
182,Roy T. Bennett
183,Rumi
184,Samuel Beckett
185,Samuel Butler
186,Sathya Sai Baba
187,Seneca
188,Seungsahn
189,Shahir Zag
190,Shunryu Suzuki
191,Sigmund Freud
192,Simon Sinek
193,Socrates
194,Sonia Ricotti
195,Soren Kierkegaard
196,Soyen Shaku
197,St. Jerome
198,Stephen Hawking
199,Stephen King
200,Steve Jobs
201,Steve Maraboli
202,Sun Tzu
203,Sydney Smith
204,T.S. Eliot
205,Theodore Roosevelt
206,Thich Nhat Hanh
207,Thomas Edison
208,Thomas Jefferson
209,Toni Morrison
210,Tony Robbins
211,Unknown
212,Vidal Sassoon
213,Vince Lombardi
214,Vincent van Gogh
215,Virginia Woolf
216,Voltaire
217,W. Clement Stone
218,W.P. Kinsella
219,Walt Disney
220,Walt Whitman
221,Wayne Dyer
222,Wayne Gretzky
223,Will Rogers
224,William Faulkner
225,William James
226,Winston Churchill
227,Woody Allen
228,Yoko Ono
229,Zen Proverb
230,Zhuangzi
231,Zig Ziglar
