,author_name,quotes,char_length,keyword
0,Jack Butcher,Anyone telling you it's pointless to share your perspective is sharing their perspective.,89,Anxiety
1,Unknown,Knowledge is learning something everyday. Wisdom is letting go of something everyday.,85,Anxiety
2,Eckhart Tolle,"You can only lose something that you have, but you cannot lose something that you are.",86,Anxiety
3,Sonia Ricotti,"When you say yes to change, you are choosing to navigate that path peacefully and happily and see where it takes you.",117,Anxiety
4,Mary Engelbreit,Don't ever save anything for a special occasion. Being alive is the special occasion.,85,Anxiety
5,Theodore Roosevelt,"Old age is like everything else. To make a success of it, you've got to start young.",84,Anxiety
6,Candice Carpenter,Success is about creating value.,32,Anxiety
7,Dogen,Prefer to be defeated in the presence of the wise than to excel among fools.,76,Anxiety
8,Roy T. Bennett,"Success is not how high you have climbed, but how you make a positive difference to the world.",94,Anxiety
9,J.R.R. Tolkien,Not all those who wander are lost.,34,Anxiety
10,Henry Ford,"Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. ",102,Anxiety
11,William James,Our view of the world is truly shaped by what we decide to hear.,64,Anxiety
12,Brian Tracy,"Successful people are always looking for opportunities to help others. Unsuccessful people are always asking, 'What's in it for me?'",132,Anxiety
13,Criss Jami,"The older you get, the more you understand how your conscience works.",69,Anxiety
14,Woody Allen,The heart wants what it wants. There's no logic. ,49,Anxiety
15,Albert Einstein,Science can flourish only in an atmosphere of free speech. ,59,Anxiety
16,Vincent van Gogh,"Great things are not done by impulse, but by a series of small things brought together.",87,Anxiety
17,Charles Dickens,A thing constructed can only be loved after it is constructed; but a thing created is loved before it exists.,109,Anxiety
18,Barack Obama,Where you are right now doesn't have to determine where you'll end up.,70,Anxiety
19,Martin Luther,"The fewer the words, the better the prayer.",43,Anxiety
20,Rumi,Your heart is the size of an ocean. Go find yourself in its hidden depths.,74,Anxiety
21,Sathya Sai Baba,Being a good example is the best form of service.,49,Anxiety
22,Henry David Thoreau,"Rather than love, than money, than fame, give me truth.",55,Anxiety
23,"Martin Luther King, Jr.",Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,110,Anxiety
24,Seneca,All cruelty springs from weakness.  ,36,Anxiety
25,Dalai Lama,Silence is sometimes the best answer,36,Anxiety
26,Maxime Lagace,Scared people want comfort and certainty so they avoid failure. People living fully seek challenges because this is where they feel alive.,138,Anxiety
27,George Eliot,Keep true. Never be ashamed of doing right. Decide what you think is right and stick to it.,91,Anxiety
28,Epictetus,"It's not what happens to you, but how you react to it that matters.",67,Anxiety
29,Herodotus,The destiny of man is in his own soul. ,39,Anxiety
30,Bob Marley,Conquer the devils with a little thing called love.,51,Anxiety
31,John Wooden,Just try to be the best you can be; never cease trying to be the best you can be. That's in your power.,103,Anxiety
32,Osho,Creativity is the greatest rebellion in existence.,50,Anxiety
33,James Allen,Men are anxious to improve their circumstances but are unwilling to improve themselves; they therefore remain bound.,116,Anxiety
34,Celestine Chua,"Fear, uncertainty, and discomfort are your compasses toward growth.",67,Anxiety
35,Mae West,An ounce of performance is worth pounds of promises.,52,Anxiety
36,Eckhart Tolle,"Nothing ever happened in the past that can prevent you from being present now; and if the past cannot prevent you from being present now, what power does it have?",162,Anxiety
37,Charles Dickens,"There are dark shadows on the earth, but its lights are stronger in the contrast.",81,Anxiety
38,Charles Darwin,I love fools' experiments. I am always making them.,51,Anxiety
39,Rita Mae Brown,"Happiness is pretty simple: someone to love, something to do, something to look forward to.",91,Anxiety
40,Jack Kerouac,The best teacher is experience and not through someone's distorted point of view.,81,Anxiety
41,Norman Vincent Peale,Imagination is the true magic carpet.,37,Anxiety
42,Lolly Daskal,Don't blame others. it won't make you a better person.,54,Anxiety
43,Les Brown,"You must be willing to do what others won't do, to have what others won't have.",79,Anxiety
44,Colin Powell,Giving back involves a certain amount of giving up.,51,Anxiety
45,Vincent van Gogh,"Normality is a paved road: It's comfortable to walk,? but no flowers grow on it.",80,Anxiety
46,Maxime Lagace,"If you focus on results and finding shortcuts, you'll get impatient. If you focus on the process and doing the right thing, you'll be unstoppable.",146,Anxiety
47,Robin Sharma,"Ancient Rule of Twenty-one: if you do anything for twenty-one days in a row, it will be installed as a habit.",109,Anxiety
48,Roy T. Bennett,"It's only after you've stepped outside your comfort zone that you begin to change, grow, and transform.",103,Anxiety
49,Mark Twain,A clear conscience is the sure sign of a bad memory.,52,Anxiety
