,author_name,quotes,char_length,keyword
0,Charlie Chaplin,"If you're really truthful with yourself, it's a wonderful guidance.  ",69,Change
1,Steve Maraboli,The right thing to do and the hard thing to do are usually the same.,68,Change
2,Gary Keller,It is those who concentrate on but one thing at a time who advance in this world.,81,Change
3,Ayn Rand,The ladder of success is best climbed by stepping on the rungs of opportunity.,78,Change
4,Sun Tzu,"It is easy to love your friend, but sometimes the hardest lesson to learn is to love your enemy.",96,Change
5,Alexander Graham Bell,"Before anything else, preparation is the key to success.",56,Change
6,Charles Dickens,We forge the chains we wear in life.,36,Change
7,Colin Powell,Giving back involves a certain amount of giving up.,51,Change
8,Benjamin Franklin,"Love your enemies, for they tell you your faults.",49,Change
9,George Bernard Shaw,You use a glass mirror to see your face; you use works of art to see your soul.,79,Change
10,Roy T. Bennett,"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.",112,Change
11,Dalai Lama,"Know the rules well, so you can break them effectively.",55,Change
12,Nelson Mandela,"It is what we make out of what we have, not what we are given, that separates one person from another.",102,Change
13,Criss Jami,"If you're waiting until you feel talented enough to make it, you'll never make it.",82,Change
14,Anne Frank,"In the long run, the sharpest weapon of all is a kind and gentle spirit.",72,Change
15,Seneca,"We are always complaining that our days are few, and acting as though there would be no end of them.  ",102,Change
16,Theodore Roosevelt,"When you're at the end of your rope, tie a knot and hold on.",60,Change
17,Isaac Newton,We build too many walls and not enough bridges.,47,Change
18,William James,"When you have to make a choice and don't make it, that is in itself a choice.",77,Change
19,Les Brown,Know your gifts and share them.,31,Change
20,Dr. Seuss,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose.,107,Change
21,Osho,Be - don't try to become ,25,Change
22,Albert Einstein,Science can flourish only in an atmosphere of free speech. ,59,Change
23,Epictetus,"It is the nature of the wise to resist pleasures, but the foolish to be a slave to them.",88,Change
24,Confucius,"Before you embark on a journey of revenge, dig two graves. ",59,Change
25,Richard Bach,"If your happiness depends on what somebody else does, I guess you do have a problem.",84,Change
26,Theodore Roosevelt,Let us rather run the risk of wearing out than rusting out.,59,Change
27,Charles Dickens,No one is useless in this world who lightens the burdens of another.,68,Change
28,Colin Powell,"Surround yourself with people who take their work seriously, but not themselves, those who work hard and play hard.",115,Change
29,Thomas Jefferson,Nothing gives one person so much advantage over another as to remain always cool and unruffled under all circumstances.,119,Change
30,Eleanor Roosevelt,It's your life-but only if you make it so.,42,Change
31,Niccolo Machiavelli,He who wishes to be obeyed must know how to command.,52,Change
32,Eleanor Roosevelt,Do one thing every day that scares you.,39,Change
33,D. H. Lawrence,"Money poisons you when you've got it, and starves you when you haven't.",71,Change
34,Kahlil Gibran,"Yesterday is but today's memory, tomorrow is today's dream.",59,Change
35,Rumi,Your heart is the size of an ocean. Go find yourself in its hidden depths.,74,Change
36,Napoleon Hill,"If you do not conquer self, you will be conquered by self.",58,Change
37,Colin Powell,Always show more kindness than seems necessary because the person receiving it needs it more than you will ever know.,117,Change
38,Criss Jami,"If ever you feel like an animal among men, be a lion.",53,Change
39,Vince Lombardi,"The harder you work, the harder it is to surrender.",51,Change
40,James Allen,No duty is more urgent than that of returning thanks.,53,Change
41,Euripides,Talk sense to a fool and he calls you foolish.,46,Change
42,Og Mandino,Never settle for the crumbs of life.,36,Change
43,Lin Yutang,The wise man reads both books and life itself.,46,Change
44,Coco Chanel,Great loves too must be endured.,32,Change
45,Rumi,"If light is in your heart, you will find your way home.  ",57,Change
46,Samuel Butler,"To himself everyone is immortal; he may know that he is going to die, but he can never know he is dead.",103,Change
47,Alfred Adler,All problems are interpersonal relationship problems.,53,Change
48,Jack Kerouac,The best teacher is experience and not through someone's distorted point of view.,81,Change
49,Ronald Reagan,"Trust, but verify.",18,Change
