,author_name,quotes,char_length,keyword
0,Brian Tracy,Spend eighty percent of your time focusing on the opportunities of tomorrow rather than the problems of yesterday.,114,Choice
1,Lolly Daskal,Focus on how far you have come in life rather than looking at the accomplishments of others.,92,Choice
2,Virginia Woolf,"When you consider things like the stars, our affairs don't seem to matter very much, do they?",93,Choice
3,Elbert Hubbard,"If you want work well done, select a busy man; the other kind has no time.",74,Choice
4,Charles Spurgeon,"Our anxiety does not empty tomorrow of its sorrows, but only empties today of its strengths.",92,Choice
5,Steve Jobs,Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose.,118,Choice
6,Thomas Edison,Many of life's failures are people who did not realize how close they were to success when they gave up.,104,Choice
7,Cherie Gilderbloom,The best dreams happen when you're awake.,41,Choice
8,Shahir Zag,A tiger doesn't lose sleep over the opinion of sheep.,53,Choice
9,Naval Ravikant,This is such a short and precious life that it's really important that you don't spend it being unhappy.,104,Choice
10,Zen Proverb,Your home is where your thoughts find peace.,44,Choice
11,Oprah Winfrey,"The more you praise and celebrate your life, the more there is in life to celebrate. ",85,Choice
12,Naval Ravikant,The power to make and break habits and learning how to do that is really important.,83,Choice
13,Anita Krizzan,When it hurts - observe. Life is trying to teach you something.,63,Choice
14,Shunryu Suzuki,Life is like stepping onto a boat which is about to sail out to sea and sink.,77,Choice
15,George Bernard Shaw,Some men see things as they are and ask why. Others dream things that never were and ask why not.,97,Choice
16,Kenji Miyazawa,We must embrace pain and burn it as fuel for our journey.,57,Choice
17,Kamal Ravikant,"Pain doesn't last. And when it's gone, we have something to show for it. Growth.",80,Choice
18,Robin Sharma,"Everything is created twice, first in the mind and then in reality.",67,Choice
19,Mae West,"The score never interested me, only the game.",45,Choice
20,Isaac Newton,Live your life as an exclamation rather than an explanation.,60,Choice
21,Isaac Newton,To arrive at the simplest truth requires years of contemplation.,64,Choice
22,Publilius Syrus,"Trust, like the soul, never returns once it is gone.",52,Choice
23,Woody Allen,Eighty percent of success is showing up. ,41,Choice
24,Tony Robbins,"Identify your problems, but give your power and energy to solutions.",68,Choice
25,Eric Hoffer,"When people are free to do as they please, they usually imitate each other.",75,Choice
26,Lolly Daskal,We become what we believe.,26,Choice
27,Elon Musk,Persistence is very important. You should not give up unless you are forced to give up.,87,Choice
28,Richard Bach,"The more I want to get something done, the less I call it work.",63,Choice
29,Thomas Jefferson,Honesty is the first chapter in the book of wisdom.,51,Choice
30,Maxime Lagace,"The truly rich men are the ones who have health, loved ones and a work they love.",81,Choice
31,Zen Proverb,No snowflake ever falls in the wrong place.,43,Choice
32,Paramahansa Yogananda,Having lots of money while not having inner peace is like dying of thirst while bathing in the ocean.,101,Choice
33,Stephen King,"Amateurs sit and wait for inspiration, the rest of us just get up and got to work.",82,Choice
34,Yoko Ono,You change the world by being yourself.,39,Choice
35,Marilyn Monroe,"Keep smiling, because life is a beautiful thing and there's so much to smile about.",83,Choice
36,George Bernard Shaw,"The whole problem with the world is the fools and fanatics are always so sure of themselves, and wiser people are full of doubts.",129,Choice
37,Alexander Graham Bell,Leave the beaten track behind occasionally and dive into the woods. Every time you do you will be certain to find something you have never seen before.,151,Choice
38,Charles Dickens,A thing constructed can only be loved after it is constructed; but a thing created is loved before it exists.,109,Choice
39,Wayne Gretzky,"I skate to where the puck is going to be, not where it has been.",64,Choice
40,Mae West,An ounce of performance is worth pounds of promises.,52,Choice
41,Ming-Dao Deng,"Receive without complaint, Work with fate.",42,Choice
42,Colin Powell,"Excellence is not an exception, it is a prevailing attitude.",60,Choice
43,Plato,"Be kind, for everyone you meet is fighting a hard battle.",57,Choice
44,Winston Churchill,"The power of man has grown in every sphere, except over himself.",64,Choice
45,D. H. Lawrence,But better die than live mechanically a life that is a repetition of repetitions.,81,Choice
46,Robert Greene,We must create our own world or we will die from inaction.,58,Choice
47,Jim Rohn,Either you run the day or the day runs you.,43,Choice
48,Stephen Hawking,Remember to look up at the stars and not down at your feet.,59,Choice
49,Estee Lauder,Be strong. Be confident. Be the star of your own life.,54,Choice
