,author_name,quotes,char_length,keyword
0,Zhuangzi,"To be truly ignorant, be content with your own knowledge.",57,Confidence
1,Charles Dickens,Change begets change. Nothing propagates so fast.,49,Confidence
2,Maxime Lagace,"If you want peace, accept. If you want suffering, expect.",57,Confidence
3,Vincent van Gogh,There is peace even in the storm.,33,Confidence
4,Abraham Lincoln,"Things may come to those who wait, but only the things left by those who hustle.",80,Confidence
5,Ralph Waldo Emerson,"Do not go where the path may lead, go instead where there is no path and leave a trail.",87,Confidence
6,Wayne Gretzky,"Only one thing is ever guaranteed, that is that you will definitely not achieve the goal if you don't take the shot.",116,Confidence
7,Norman Vincent Peale,"Live simply, expect little, give much.",38,Confidence
8,Charles Spurgeon,By perseverance the snail reached the ark.,42,Confidence
9,Carlos Ruiz Zafon,"Poetry is written with tears, fiction with blood, and history with invisible ink.",81,Confidence
10,Peter A. Cohen,"When we think about our strengths, we are strong. When we think about our weaknesses, we are weak.",98,Confidence
11,Charlie Chaplin,Simplicity is a difficult thing to achieve.  ,45,Confidence
12,Ming-Dao Deng,Those who attain the middle Dominate the whole.,47,Confidence
13,Criss Jami,The biggest and only critic lives in your perception of people's perception of you rather than people's perception of you.,122,Confidence
14,Sydney Smith,Obstacles are those frightful things you see when you take your eyes off your goals.,84,Confidence
15,Virginia Woolf,"I have lost friends, some by death...others by sheer inability to cross the street.",83,Confidence
16,Buddha,Work out your own salvation. Do not depend on others.,53,Confidence
17,Napoleon Hill,"Every adversity, every failure, every heartbreak, carries with it the seed of an equal or greater benefit.",106,Confidence
18,Mother Teresa,"Kind words can be short and easy to speak, but their echoes are truly endless.",78,Confidence
19,Denis Waitley,Time and health are two precious assets that we don't recognize and appreciate until they have been depleted. ,110,Confidence
20,Eleanor Roosevelt,"Life is what you make it. Always has been, always will be.",58,Confidence
21,Charles Dickens,One always begins to forgive a place as soon as it's left behind.,65,Confidence
22,Socrates,It is better to change an opinion than to persist in a wrong one.,65,Confidence
23,Henry Ford,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.",114,Confidence
24,Seneca,"If a man knows not to which port he sails, no wind is favorable.  ",66,Confidence
25,Jonathan Swift,"Laws are like cobwebs, which may catch small flies, but let wasps and hornets break through.",92,Confidence
26,Isaac Newton,My powers are ordinary. Only my application brings me success.,62,Confidence
27,Huang Po,"Throughout this life, you can never be certain of living long enough to take another breath.",92,Confidence
28,Jim Rohn,Living life in style also means living a life of balance.,57,Confidence
29,Epictetus,He who laughs at himself never runs out of things to laugh at.,62,Confidence
30,Christopher McCandless,Life and the simple beauty of it is too good to pass up.,56,Confidence
31,Beverly Sills,In youth we run into difficulties. In old age difficulties run into us. ,72,Confidence
32,Eleanor Roosevelt,Light a candle instead of cursing the darkness.,47,Confidence
33,Shunryu Suzuki,Time goes from present to past.,31,Confidence
34,Miguel de Cervantes,To be prepared is half the victory. ,36,Confidence
35,Oscar Wilde,"To live is the rarest thing in the world. Most people exist, that is all. ",74,Confidence
36,Christopher Reeve,Either you choose to stay in the shallow end of the pool or you go out into the ocean.,86,Confidence
37,Tony Robbins,"Most people dabble their way through life, never deciding to master anything in particular.",91,Confidence
38,Dalai Lama,Love is the absence of judgment.,32,Confidence
39,Eckhart Tolle,"Pleasure is always derived from something outside you, whereas joy arises from within. ",87,Confidence
40,Naval Ravikant,This is such a short and precious life that it's really important that you don't spend it being unhappy.,104,Confidence
41,Chinese Proverb,The person who says something is impossible should not interrupt the person who is doing it.,92,Confidence
42,Kahlil Gibran,You talk when you cease to be at peace with your thoughts.,58,Confidence
43,Stephen King,Fiction is the truth inside the lie.,36,Confidence
44,Abraham Lincoln,The best way to predict your future is to create it.,52,Confidence
45,Thomas Jefferson,Determine never to be idle. No person will have occasion to complain of the want of time who never loses any.,109,Confidence
46,Zen Proverb,"Always look on the bright side of things. If you can't comprehend this, polish that which has become dull until it begins to shine.",131,Confidence
47,Mark Twain,The secret of getting ahead is getting started.,47,Confidence
48,Hans Christian Andersen,To be of use to the world is the only way to be happy.,54,Confidence
49,Tony Robbins,"It's not what we do once in a while that shapes our lives, but what we do consistently.",87,Confidence
