,author_name,quotes,char_length,keyword
0,Miguel de Cervantes,"Too much sanity may be madness and the maddest of all, to see life as it is and not as it should be. ",101,Courage
1,Colin Powell,"If you are going to achieve excellence in big things, you develop the habit in little matters.",94,Courage
2,Sathya Sai Baba,"Life is a challenge, meet it! Life is a dream, realize it! Life is a game, play it! Life is love, enjoy it!",107,Courage
3,Stephen Hawking,"If you are lucky enough to find love, remember it is there and don't throw it away.",83,Courage
4,Ayn Rand,The businessman's tool is value.,32,Courage
5,Eleanor Roosevelt,I am who I am today because of the choices I made yesterday.,60,Courage
6,Coco Chanel,Success is often achieved by those who don't know that failure is inevitable.,77,Courage
7,Richard Bach,I do not exist to impress the world. I exist to live my life in a way that will make me happy.,94,Courage
8,Dogen,Prefer to be defeated in the presence of the wise than to excel among fools.,76,Courage
9,Nikola Tesla,"Our virtues and our failings are inseparable, like force and matter. When they separate, man is no more. ",105,Courage
10,Shunryu Suzuki,"In the beginner's mind there are many possibilities, but in the expert's mind there are few.",92,Courage
11,Nikola Tesla,We crave for new sensations but soon become indifferent to them. The wonders of yesterday are today common occurrences ,119,Courage
12,Vincent van Gogh,Those who dream by day are cognizant of many things which escape those who dream only by night.,95,Courage
13,Mother Teresa,"If we have no peace, it is because we have forgotten that we belong to each other.",82,Courage
14,Mark Twain,"Everyone is a moon, and has a dark side which he never shows to anybody.",72,Courage
15,Kamal Ravikant,"Pain doesn't last. And when it's gone, we have something to show for it. Growth.",80,Courage
16,Nelson Mandela,"You can start changing our world for the better daily, no matter how small the action.",86,Courage
17,Jim Rohn,"Formal education will make you a living, self-education will make you a fortune.",80,Courage
18,John Wooden,Things turn out best for the people who make the best of the way things turn out.,81,Courage
19,Ming-Dao Deng,In nature there is no alienation. Everything belongs.,53,Courage
20,Chinese Proverb,A needle is not sharp at both ends. ,36,Courage
21,D. H. Lawrence,"Be a good animal, true to your instincts.",41,Courage
22,Mark Twain,Keep away from people who try to belittle your ambitions.,57,Courage
23,James Allen,You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,111,Courage
24,Thomas Edison,"I have not failed. I've just found 10,000 ways that won't work.",63,Courage
25,Euripides,Anger exceeding limits causes fear and excessive kindness eliminates respect.,77,Courage
26,Oprah Winfrey,"The big secret in life is that there is no big secret. Whatever your goal, you can get there if you're willing to work.",119,Courage
27,Eric Hoffer,The hardest arithmetic to master is that which enables us to count our blessings.,81,Courage
28,Abraham Lincoln,Those who look for the bad in people will surely find it.,57,Courage
29,Walt Whitman,"I no doubt deserved my enemies, but I don't believe I deserved my friends.",74,Courage
30,Dalai Lama,Be kind whenever possible. It is always possible.,49,Courage
31,Hans Christian Andersen,"The whole world is a series of miracles, but we're so used to them we call them ordinary things.",96,Courage
32,Leo Tolstoy,It's much better to do good in a way that no one knows anything about it.,73,Courage
33,Sathya Sai Baba,The secret of happiness is not in doing what you like but in liking what you have to do.,88,Courage
34,W.P. Kinsella,Any game becomes important when you know and love the players.,62,Courage
35,Zen Proverb,Don't be afraid to go slowly. Be afraid of stopping.,52,Courage
36,Jon Kabat-Zinn,"Note that this journey is uniquely yours, no one elses. So the path has to be your own.",87,Courage
37,Naval Ravikant,The power to make and break habits and learning how to do that is really important.,83,Courage
38,Henry David Thoreau,"Live in each season as it passes; breathe the air, drink the drink, taste the fruit, and resign yourself to the influence of the earth.",135,Courage
39,Albert Einstein,In the middle of difficulty lies opportunity.,45,Courage
40,Lao Tzu,Silence is a source of great strength.,38,Courage
41,Orison Swett Marden,"The golden opportunity you are seeking is in yourself. It is not in your environment; it is not in luck or chance, or the help of others; it is in yourself alone. ",163,Courage
42,Eleanor Roosevelt,"You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.",115,Courage
43,Samuel Butler,"Any fool can paint a picture, but it takes a wise man to be able to sell it.",76,Courage
44,Conrad Hilton,"To some degree, you control your life by controlling your time.",63,Courage
45,Anne Wilson Schaef,"Humor isn't for everyone. It's only for people who want to have fun, enjoy life, and feel alive.",96,Courage
46,Charles Dickens,We forge the chains we wear in life.,36,Courage
47,Charles Darwin,I love fools' experiments. I am always making them.,51,Courage
48,James Cameron,Curiosity is the most powerful thing you own. Imagination is a force that can actually manifest a reality.,106,Courage
49,Charles Darwin,A man who dares to waste one hour of time has not discovered the value of life.,79,Courage
