,author_name,quotes,char_length,keyword
0,Denis Waitley,Time and health are two precious assets that we don't recognize and appreciate until they have been depleted. ,110,Death
1,Conrad Hilton,Enthusiasm is a vital element toward the individual success of every man or woman.,82,Death
2,Og Mandino,Your only limitations are those you set up in your mind or permit others to set up for you.,91,Death
3,Earl Nightingale,"You are now, and you do become, what you think about.",53,Death
4,Bodhidharma,Poverty and hardship are created by false thinking.,51,Death
5,Zen Proverb,No snowflake ever falls in the wrong place.,43,Death
6,Roy T. Bennett,Start each day with a positive thought and a grateful heart.,60,Death
7,Plato,"Be kind, for everyone you meet is fighting a hard battle.",57,Death
8,Lolly Daskal,Many people spend more time looking at their failures than focusing on their successes.,87,Death
9,Mark Twain,The two most important days in your life are the day you are born and the day you find out why.,95,Death
10,Bruce Lee,In the middle of chaos lies opportunity.  ,42,Death
11,Oprah Winfrey,Surround yourself with only people who are going to lift you higher. ,69,Death
12,Elbert Hubbard,"If you want work well done, select a busy man; the other kind has no time.",74,Death
13,Chinese Proverb,"Before preparing to improve the world, first look around your own home three times. ",84,Death
14,William Faulkner,Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed.,111,Death
15,Publilius Syrus,"The fear of death is more to be feared, than death itself.",58,Death
16,Walt Disney,The way to get started is to quit talking and begin doing.,58,Death
17,Albus Dumbledore,Dark times lie ahead of us and there will be a time when we must choose between what is easy and what is right.,111,Death
18,Stephen King,Either get busy living or get busy dying.,41,Death
19,Norman Vincent Peale,Stand up to your obstacles and do something about them. You'll find they haven't half the strength you think they have.,119,Death
20,Huang Po,Words used to attract the dull of wit are not to be relied on.,62,Death
21,J.R.R. Tolkien,Even the smallest person can change the course of the future.,61,Death
22,George Bernard Shaw,"The whole problem with the world is the fools and fanatics are always so sure of themselves, and wiser people are full of doubts.",129,Death
23,Pema Chodron,"To be fully alive, fully human, and completely awake is to be continually thrown out of the nest.",97,Death
24,Sonia Ricotti,"When you say yes to change, you are choosing to navigate that path peacefully and happily and see where it takes you.",117,Death
25,Tony Robbins,"If you can't, you must. If you must, you can.",45,Death
26,Vince Lombardi,"We run to win, not just to be in the race.  ",44,Death
27,Bob Proctor,"Thoughts become things. If you see it in your mind, you will hold it in your hand.",82,Death
28,Hans Christian Andersen,The sun shines upon good and bad alike.,39,Death
29,Winston Churchill,Success is going from failure to failure without losing your enthusiasm,71,Death
30,Zen Proverb,Only when you can be extremely pliable and soft can you be extremely hard and strong.,85,Death
31,Euripides,One loyal friend is worth ten thousand relatives.,49,Death
32,Carlos Ruiz Zafon,We are willing to believe anything other than the truth.,56,Death
33,Mother Teresa,Peace begins with a smile.,26,Death
34,Unknown,Your problem isn't the problem. Your reaction is the problem.,61,Death
35,Roger Lee,Some of your greatest lessons come from your darkest moments.,61,Death
36,Dr. Seuss,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose.,107,Death
37,Celestine Chua,"If what you're doing is not your passion, you have nothing to lose.",67,Death
38,Gary Keller,"Even if you're sure you can win, be careful that you can live with what you lose.",81,Death
39,Norman Vincent Peale,"Shoot for the moon. Even if you miss, you'll land among the stars.",66,Death
40,Charles Swindoll,The swift wind of compromise is a lot more devastating than the sudden jolt of misfortune. ,91,Death
41,Denis Waitley,"Expect the best, plan for the worst, and prepare to be surprised. ",66,Death
42,Naval Ravikant,A rational person can find peace by cultivating indifference to things outside of their control.,96,Death
43,Steve Maraboli,"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",120,Death
44,Lao Tzu,Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love. ,114,Death
45,Ralph Waldo Emerson,To know even one life has breathed easier because you have lived. This is to have succeeded.,92,Death
46,Og Mandino,If I persist long enough I will win.,36,Death
47,Steve Maraboli,The beautiful journey of today can only begin when we learn to let go of yesterday.,83,Death
48,Roy T. Bennett,"Instead of worrying about what you cannot control, shift your energy to what you can create.",92,Death
49,Naval Ravikant,If you try to micromanage yourself all you're going to do is make yourself miserable.,85,Death
