,author_name,quotes,char_length,keyword
0,Isaac Newton,No great discovery was ever made without a bold guess. ,55,Dreams
1,Brian Tracy,Most people achieved their greatest success one step beyond what looked like their greatest failure.,100,Dreams
2,John D. Rockefeller,"Giving is the secret of a healthy life. Not necessarily money, but whatever a person has of encouragement, sympathy and understanding.",134,Dreams
3,Nicolas Chamfort,Public opinion is the worst of all opinions.,44,Dreams
4,Eckhart Tolle,All problems are illusions of the mind.,39,Dreams
5,Josh Waitzkin,Great ones are willing to get burned time and again as they sharpen their swords in the fire.,93,Dreams
6,Amelia Earhart,"I wasn't brave, I just didn't have time to be scared.",53,Dreams
7,Henry David Thoreau,"Rather than love, than money, than fame, give me truth.",55,Dreams
8,Amelia Earhart,"A single act of kindness throws out roots in all directions, and the roots spring up and make new trees.",104,Dreams
9,Theodore Roosevelt,"Nothing in this world is worth having or worth doing unless it means effort, pain, difficulty.",94,Dreams
10,Voltaire,"The more often a stupidity is repeated, the more it gets the appearance of wisdom.",82,Dreams
11,F. Scott Fitzgerald,Life is much more successfully looked at from a single window.,62,Dreams
12,Samuel Butler,Life is one long process of getting tired.,42,Dreams
13,Billie Jean King,I think self-awareness is probably the most important thing towards being a champion. ,86,Dreams
14,Emily Dickinson,To be alive - is Power.,23,Dreams
15,Criss Jami,I don't pretend to know everything; I just only speak on matters I know I'll win.,81,Dreams
16,Zen Proverb,The temptation to give up is strongest just before victory.,59,Dreams
17,Nicolas Chamfort,"Contemplation often makes life miserable.  We should act more, think less, and stop watching ourselves live.",108,Dreams
18,Unknown,Your problem isn't the problem. Your reaction is the problem.,61,Dreams
19,Alexander Pope,To be angry is to revenge the faults of others on ourselves.,60,Dreams
20,Zhuangzi,Happiness is the absence of the striving for happiness.,55,Dreams
21,Amelia Earhart,It is best to begin at the beginning.,37,Dreams
22,Eleanor Roosevelt,You can often change your circumstances by changing your attitude.,66,Dreams
23,Betty White,It's your outlook on life that counts.,38,Dreams
24,Walt Whitman,Re-examine all that you have been told... dismiss that which insults your soul.,79,Dreams
25,Zhuangzi,Those who realize their folly are not true fools.,49,Dreams
26,Aristotle,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",75,Dreams
27,Maxime Lagace,Difficult and meaningful will always bring more satisfaction than easy and meaningless.,87,Dreams
28,Criss Jami,To be heroic is to be courageous enough to die for something; to be inspirational is to be crazy enough to live a little.,121,Dreams
29,James Matthew Barrie,Those who bring sunshine into the lives of others cannot keep it from themselves.,81,Dreams
30,Denis Waitley,"Chase your passion, not your pension. ",38,Dreams
31,Martin Luther,Nothing good ever comes of violence.,36,Dreams
32,Norman Vincent Peale,A vital part of the happiness formula is self-discipline. Whoever conquers himself knows deep happiness that fills the heart with joy.,134,Dreams
33,Ming-Dao Deng,It is only depth of character that determines the profundity with which we face life.,85,Dreams
34,Coco Chanel,In order to be irreplaceable one must always be different.,58,Dreams
35,Bruce Lee,"If you put water into a cup, it becomes the cup.",48,Dreams
36,Earl Nightingale,Every one of us is the sum total of his own thoughts.,53,Dreams
37,Elon Musk,"When something is important enough, you do it even if the odds are not in your favor.",85,Dreams
38,Brian Tracy,To earn more you must learn more.,33,Dreams
39,Alfred Adler,"No experience is a cause of success or failure. We do not suffer from the shock of our experiences, so-called trauma ? but we make out of them just what suits our purposes.",172,Dreams
40,George Bernard Shaw,"Progress is impossible without change, and those who cannot change their minds cannot change anything.",102,Dreams
41,Richard Bach,True love stories never have endings.,37,Dreams
42,Chinese Proverb,Talk does not cook rice.,24,Dreams
43,Criss Jami,"The older you get, the more you understand how your conscience works.",69,Dreams
44,Zig Ziglar,Some of us learn from other people's mistakes and the rest of us have to be other people.  ,91,Dreams
45,Napoleon Hill,No one ever is defeated until defeat has been accepted as a reality.,68,Dreams
46,Chinese Proverb,Teachers open the door. You enter by yourself. ,47,Dreams
47,Elbert Hubbard,One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.,103,Dreams
48,Charles Dickens,Change begets change. Nothing propagates so fast.,49,Dreams
49,Mary Engelbreit,Don't ever save anything for a special occasion. Being alive is the special occasion.,85,Dreams
