,author_name,quotes,char_length,keyword
0,Lao Tzu,A man with outward courage dares to die: a man with inner courage dares to live.,80,Excellence
1,Ronald Reagan,Many a man has failed because he had his wishbone where his backbone should have been.,86,Excellence
2,Publilius Syrus,Debt is the slavery of the free.,32,Excellence
3,Carlos Ruiz Zafon,"People tend to complicate their own lives, as if living weren't already complicated enough.",91,Excellence
4,Eleanor Roosevelt,With the new day comes new strength and new thoughts.,53,Excellence
5,Albert Einstein,"If you can't explain it simply, you don't understand it well enough.",68,Excellence
6,Jim Rohn,Discipline is the bridge between goals and accomplishment.,58,Excellence
7,Thomas Edison,Many of life's failures are people who did not realize how close they were to success when they gave up.,104,Excellence
8,Oprah Winfrey,Surround yourself with only people who are going to lift you higher. ,69,Excellence
9,Albus Dumbledore,"It's the unknown we fear when we look upon death and darkness, nothing more.",76,Excellence
10,Criss Jami,"If ever you feel like an animal among men, be a lion.",53,Excellence
11,Gary Keller,Success is built sequentially. It's one thing at a time.,56,Excellence
12,Woody Allen,"If you're not failing every now and again, it's a sign you're not doing anything very innovative.",97,Excellence
13,Sun Tzu,"Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win.",111,Excellence
14,Ming-Dao Deng,We create the world and ourselves;,34,Excellence
15,John Wooden,"Consider the rights of others before your own feelings, and the feelings of others before your own rights.",106,Excellence
16,Kahlil Gibran,"It takes a minute to have a crush on someone, an hour to like someone, and a day to love someone... but it takes a lifetime to forget someone.",142,Excellence
17,Lao Tzu,"To lead the people, walk behind them.",37,Excellence
18,Hans Christian Andersen,"Nothing is too high for a man to reach, but he must climb with care and confidence",82,Excellence
19,Rumi,Your heart is the size of an ocean. Go find yourself in its hidden depths.,74,Excellence
20,Maxime Lagace,"If you focus on results and finding shortcuts, you'll get impatient. If you focus on the process and doing the right thing, you'll be unstoppable.",146,Excellence
21,Emily Dickinson,We turn not older with years but newer every day.,49,Excellence
22,Simon Sinek,"If you want to feel happy, do something for yourself. If you want to feel fulfilled, do something for someone else.",115,Excellence
23,Mary Engelbreit,Life's too mysterious to take too serious.,42,Excellence
24,Vincent van Gogh,Those who dream by day are cognizant of many things which escape those who dream only by night.,95,Excellence
25,Napoleon Hill,Success comes to those who become success conscious.,52,Excellence
26,Criss Jami,To share your weakness is to make yourself vulnerable; to make yourself vulnerable is to show your strength.,108,Excellence
27,Richard Bach,"Every person, all the events of your life are there because you have drawn them there. What you choose to do with them is up to you.",132,Excellence
28,James Allen,The outer conditions of a person's life will always be found to reflect their inner beliefs.,92,Excellence
29,Bruce Lee,"The successful warrior is the average man, with laser-like focus.",65,Excellence
30,Beverly Sills,In youth we run into difficulties. In old age difficulties run into us. ,72,Excellence
31,Les Brown,We have to live life with a sense of urgency so not a minute is wasted.,71,Excellence
32,Norman Vincent Peale,Imagination is the true magic carpet.,37,Excellence
33,Albert Einstein,"Try not to become a man of success, but rather try to become a man of value.",76,Excellence
34,Albert Einstein,Creativity is intelligence having fun.,38,Excellence
35,Robert Collier,"Success is the sum of small efforts, repeated day in and day out.",65,Excellence
36,Elon Musk,"One of the really tough things is figuring out what questions to ask. Once you figure out the question, then the answer is relatively easy.",139,Excellence
37,Barack Obama,"Our stories may be singular, but our destination is shared.",59,Excellence
38,Elbert Hubbard,One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.,103,Excellence
39,Kamal Ravikant,"Life is from the inside out. When you shift on the inside, life shifts on the outside.",86,Excellence
40,Virginia Woolf,The eyes of others our prisons; their thoughts our cages.,57,Excellence
41,Zig Ziglar,"Rich people have small TVs and big libraries, and poor people have small libraries and big TVs.",95,Excellence
42,Jack London,Intelligent men are cruel. Stupid men are monstrously cruel.,60,Excellence
43,Jonathan Swift,Words are the clothing of our thoughts.,39,Excellence
44,Ralph Marston,"Happiness is a choice, not a result. Nothing will make you happy until you choose to be happy.",94,Excellence
45,Jack Kerouac,"Rest and be kind, you don't have to prove anything.",51,Excellence
46,Paramahansa Yogananda,Change yourself and you have done your part in changing the world.,66,Excellence
47,Steve Jobs,Have the courage to follow your heart and intuition. They somehow know what you truly want to become.,101,Excellence
48,John Locke,"New opinions are always suspected, and usually opposed, without any other reason but because they are not common.",113,Excellence
49,J.R.R. Tolkien,The wise speak only of what they know.,38,Excellence
