,author_name,quotes,char_length,keyword
0,Eleanor Roosevelt,"You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.",115,Failure
1,Leo Tolstoy,Is it really possible to tell someone else what one feels?,58,Failure
2,W. Clement Stone,"Truth will always be truth, regardless of lack of understanding, disbelief or ignorance. ",89,Failure
3,Eleanor Roosevelt,I am who I am today because of the choices I made yesterday.,60,Failure
4,George Bernard Shaw,"Beware of false knowledge, it is more dangerous than ignorance.",63,Failure
5,Maxime Lagace,"If you focus on results and finding shortcuts, you'll get impatient. If you focus on the process and doing the right thing, you'll be unstoppable.",146,Failure
6,Abraham Lincoln,"I would rather be a little nobody, then to be an evil somebody.",63,Failure
7,Confucius,Never do to others what you would not like them to do to you. ,62,Failure
8,Eleanor Roosevelt,Do what you feel in your heart to be right ? for you'll be criticized anyway.,77,Failure
9,Kahlil Gibran,Life without love is like a tree without blossoms or fruit.,59,Failure
10,Elbert Hubbard,The greatest mistake you can make in life is to be continually fearing you will make one.,89,Failure
11,James Allen,"As a man thinketh in his heart, so shall he be.",47,Failure
12,Wayne Dyer,I would rather be hated for who I am than loved for who I'm not.  ,66,Failure
13,Plato,The most virtuous are those who content themselves with being virtuous without seeking to appear so.,100,Failure
14,Walt Whitman,"The truth is simple. If it was complicated, everyone would understand it.",73,Failure
15,Criss Jami,"If you build the guts to do something, anything, then you better save enough to face the consequences.",102,Failure
16,Marcus Aurelius,Waste no more time arguing about what a good man should be. Be one.,67,Failure
17,Alan Watts,"The only way to make sense out of change is to plunge into it, move with it, and join the dance.",96,Failure
18,Shunryu Suzuki,Life is like stepping onto a boat which is about to sail out to sea and sink.,77,Failure
19,Morgan Wootten,Leadership starts at the top.,29,Failure
20,Hans Christian Andersen,Enjoy life. There's plenty of time to be dead.,46,Failure
21,A.A. Milne,One of the advantages of being disorganized is that one is always having surprising discoveries.,96,Failure
22,Virginia Woolf,"I thought how unpleasant it is to be locked out; and I thought how it is worse, perhaps, to be locked in.",105,Failure
23,Samuel Butler,Life is one long process of getting tired.,42,Failure
24,Ming-Dao Deng,"Help others for all the times that you have been ignored. Be kind to others, for all the times that you have been scorned.",122,Failure
25,St. Jerome,The friendship that can cease has never been real. ,51,Failure
26,Mahatma Gandhi,You don't know who is important to you until you actually lose them.,68,Failure
27,Conrad Hilton,Enthusiasm is a vital element toward the individual success of every man or woman.,82,Failure
28,Alexandre Dumas,For all evils there are two remedies - time and silence.,56,Failure
29,Dogen,"A flower falls, even though we love it; and a weed grows, even though we do not love it.",88,Failure
30,Woody Allen,Tradition is the illusion of permanence. ,41,Failure
31,Gary Keller,It is those who concentrate on but one thing at a time who advance in this world.,81,Failure
32,Will Rogers,Don't Let Yesterday Take Up Too Much Of Today.,46,Failure
33,Colin Powell,Always focus on the front windshield and not the rear view mirror.,66,Failure
34,J.R.R. Tolkien,Even the smallest person can change the course of the future.,61,Failure
35,Maxime Lagace,The highest level of wisdom is when you not only accept but love adversity.,75,Failure
36,Nelson Mandela,"It is what we make out of what we have, not what we are given, that separates one person from another.",102,Failure
37,Helen Keller,The only thing worse than being blind is having sight but no vision.,68,Failure
38,Stephen King,"Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.",89,Failure
39,John D. Rockefeller,Don't be afraid to give up the good to go for the great.,56,Failure
40,Bob Dylan,Some people feel the rain. Others just get wet. ,48,Failure
41,Elbert Hubbard,Reversing your treatment of the man you have wronged is better than asking his forgiveness.,91,Failure
42,George Washington,"The harder the conflict, the greater the triumph. ",50,Failure
43,Thomas Jefferson,"How much pain they have cost us, the evils which have never happened.",69,Failure
44,Criss Jami,Don't change your mind just because people are offended; change your mind if you're wrong.,90,Failure
45,Stephen Hawking,"However difficult life may seem, there is always something you can do and succeed at.",85,Failure
46,Hans Christian Andersen,We cannot expect to be happy always... by experiencing evil as well as good we become wise.,91,Failure
47,Charles Darwin,The very essence of instinct is that it's followed independently of reason.,75,Failure
48,Coco Chanel,Success is often achieved by those who don't know that failure is inevitable.,77,Failure
49,Soyen Shaku,Have the fearless attitude of a hero and the loving heart of a child.,69,Failure
