,author_name,quotes,char_length,keyword
0,Zhuangzi,"To a mind that is still, the entire universe surrenders.",56,Fairness
1,Seungsahn,The Truth is realized in an instant; the Act is practiced step by step.,71,Fairness
2,Mary Engelbreit,Happiness must be grown in one's own garden.,44,Fairness
3,Genghis Khan,an action committed in anger is an action doomed to failure. ,61,Fairness
4,Mary Engelbreit,Bloom where you are planted!,28,Fairness
5,Marcus Aurelius,"You have power over your mind ? not outside events. Realize this, and you will find strength.",93,Fairness
6,Seneca,"We are always complaining that our days are few, and acting as though there would be no end of them.  ",102,Fairness
7,Zig Ziglar,"People often say that motivation doesn't last. Well, neither does bathing - that's why we recommend it daily.",109,Fairness
8,Pema Chodron,Only to the extent that we expose ourselves over and over to annihilation can that which is indestructible in us be found.,122,Fairness
9,Bob Dylan,Some people feel the rain. Others just get wet. ,48,Fairness
10,Zhuangzi,Understanding that rests in what it does not understand is the finest.,70,Fairness
11,Sonia Ricotti,We can choose to look at whatever we want.  We can look at what's wrong in our life or we can look at what's right.,115,Fairness
12,Naval Ravikant,You make your own luck if you stay at it long enough.,53,Fairness
13,Ming-Dao Deng,"The path is difficult to ensure worthiness. The lazy look elsewhere, The persevering find riches.",97,Fairness
14,Betty White,Don't try to be young. Just open your mind. Stay interested in stuff.,69,Fairness
15,Tony Robbins,"For changes to be of any true value, they've got to be lasting and consistent.",78,Fairness
16,Jim Rohn,"When you know what you want, and want it bad enough, you will find a way to get it.",83,Fairness
17,Chinese Proverb,"A clever person turns great troubles into little ones, and little ones into none at all. ",89,Fairness
18,Theodore Roosevelt,"Do what you can, with what you have, where you are.",51,Fairness
19,William James,"When you have to make a choice and don't make it, that is in itself a choice.",77,Fairness
20,Roy T. Bennett,Believe in your infinite potential. Your only limitations are those you set upon yourself.,90,Fairness
21,Kamal Ravikant,Love yourself with the same intensity you would use to pull yourself up if you were hanging off a cliff.,104,Fairness
22,Rita Mae Brown,"Happiness is pretty simple: someone to love, something to do, something to look forward to.",91,Fairness
23,Stephen King,"Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.",89,Fairness
24,Bruce Lee,"Empty your mind, be formless.",29,Fairness
25,Leo Tolstoy,It's much better to do good in a way that no one knows anything about it.,73,Fairness
26,Emily Dickinson,The heart wants what it wants - or else it does not care.,57,Fairness
27,Albus Dumbledore,"It is our choices that show what we truly are, far more than our abilities.",75,Fairness
28,Dalai Lama,Happiness is not something ready made. It comes from your own actions.,70,Fairness
29,Tony Robbins,The quality of your life is the quality of your relationships.,62,Fairness
30,Dudley Field Malone,I have never in my life learned anything from any man who agreed with me.,73,Fairness
31,Elon Musk,I don't ever give up. I'd have to be dead or completely incapacitated.,70,Fairness
32,Lao Tzu,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage. ",97,Fairness
33,Roy T. Bennett,"Instead of worrying about what you cannot control, shift your energy to what you can create.",92,Fairness
34,George Eliot,"Our deeds determine us, as much as we determine our deeds.",58,Fairness
35,Meister Eckhart,"If the only prayer you ever say in your entire life is thank you, it will be enough.",84,Fairness
36,Ming-Dao Deng,The wise accomplish all that they want without arousing the envy or scorn of others.,84,Fairness
37,Stephen King,When you are talented you do it whatever it is until your fingers bleed or your eyes are ready to fall out of your head.,120,Fairness
38,James Allen,"Circumstances do not make the man, they reveal him.",51,Fairness
39,Colin Powell,"Surround yourself with people who take their work seriously, but not themselves, those who work hard and play hard.",115,Fairness
40,Mary Engelbreit,"Heal the past, live the present, dream the future.",50,Fairness
41,Johann Wolfgang von Goethe,You can easily judge the character of a man by how he treats those who can do nothing for him.,94,Fairness
42,Robert Frost,"Two roads diverged in a wood, and I took the one less traveled by, and that has made all the difference.",104,Fairness
43,Napoleon Hill,It takes half your life before you discover life is a do-it-yourself project.,77,Fairness
44,Albert Einstein,Imagination is more important than knowledge.,45,Fairness
45,Henry Ford,"The only real security that a man can have in this world is a reserve of knowledge, experience and ability. ",108,Fairness
46,Franklin D. Roosevelt,People acting together as a group can accomplish things which no individual acting alone could ever hope to bring about.,120,Fairness
47,Mae West,"It's not the men in your life that matters, it's the life in your men.",70,Fairness
48,Will Rogers,Nothing makes a man broad-minded like adversity.,48,Fairness
49,Maxime Lagace,"The goal is not to show how great you are to others, but how vulnerable you are to yourself.",92,Fairness
