,author_name,quotes,char_length,keyword
0,Mother Teresa,It's not how much we give but how much love we put into giving.,63,Fear
1,Naval Ravikant,"Study logic and math, because once you've mastered them, you won't fear any book.",81,Fear
2,Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. ",134,Fear
3,Robert Frost,The only way round is through.,30,Fear
4,Joan Rivers,"Reading should be a pleasure, not a chore.",42,Fear
5,Jim Rohn,Don't spend major time on minor things.,39,Fear
6,Richard Bach,"The more I want to get something done, the less I call it work.",63,Fear
7,Zen Proverb,"If you've made a mistake, it's better just to laugh at it.",58,Fear
8,Plato,The most virtuous are those who content themselves with being virtuous without seeking to appear so.,100,Fear
9,Leo Tolstoy,Respect was invented to cover the empty place where love should be.,67,Fear
10,Wayne Dyer,"It's easy to be a critic, but being a doer requires effort, risk, and change.  ",79,Fear
11,Earl Nightingale,"All you need is the plan, the road map, and the courage to press on to your destination.",88,Fear
12,Sun Tzu,Strategy without tactics is the slowest route to victory. Tactics without strategy is the noise before defeat.,110,Fear
13,Publilius Syrus,He who violates another's honor loses his own.,46,Fear
14,Sathya Sai Baba,"Start the day with love, spend the day with love, fill the day with love and end the day with love.",99,Fear
15,John Wooden,Don't let making a living prevent you from making a life.,57,Fear
16,Charles Swindoll,We are all faced with a series of great opportunities brilliantly disguised as impossible situations. ,102,Fear
17,Steve Maraboli,"It only takes a split second to smile and forget, yet to someone that needed it, it can last a lifetime.",104,Fear
18,Zhuangzi,Happiness is the absence of the striving for happiness.,55,Fear
19,Doug Ivester,Never let your memories be greater than your dreams.,52,Fear
20,Eckhart Tolle,Acknowledging the good that you already have in your life is the foundation for all abundance.,94,Fear
21,Napoleon Hill,Deliberately seek the company of people who influence you to think and act on building the life you desire.,107,Fear
22,Yoko Ono,"Each time we don't say what we wanna say, we're dying.",54,Fear
23,Isaac Newton,"What we know is a drop, what we don't know is an ocean. ",56,Fear
24,Ming-Dao Deng,Make your stand today. On this spot. On this day.,49,Fear
25,Mark Twain,"Whenever you find yourself on the side of the majority, it is time to reform.",77,Fear
26,Sigmund Freud,Being entirely honest with oneself is a good exercise.,54,Fear
27,Yoko Ono,"You may think I'm small, but I have a universe inside my mind.",62,Fear
28,Wayne Dyer,How people treat you is their karma; how you react is yours. ,61,Fear
29,Dale Carnegie,Don't be afraid of enemies who attack you. Be afraid of the friends who flatter you.,84,Fear
30,Osho,Life begins where fear ends.,28,Fear
31,Jack Kerouac,"Rest and be kind, you don't have to prove anything.",51,Fear
32,"Martin Luther King, Jr.",The time is always right to do what is right.,45,Fear
33,Orison Swett Marden,All men who have achieved great things have been great dreamers. ,65,Fear
34,Eckhart Tolle,Be the silent watcher of your thoughts and behavior. You are beneath the thinker.,81,Fear
35,Theodore Roosevelt,"Nothing in this world is worth having or worth doing unless it means effort, pain, difficulty.",94,Fear
36,Toni Morrison,You are your best thing.,24,Fear
37,Colin Powell,Always focus on the front windshield and not the rear view mirror.,66,Fear
38,Marcus Aurelius,The best answer to anger is silence.,36,Fear
39,Earl Nightingale,Success is not the result of making money; making money is the result of success - and success is in direct proportion to our service.,134,Fear
40,Margaret Mead,I learned the value of hard work by working hard. ,50,Fear
41,Alexandre Dumas,"Often we pass beside happiness without seeing it, without looking at it, or even if we have seen and looked at it, without recognizing it.",138,Fear
42,Jon Kabat-Zinn,Patience is a form of wisdom. It demonstrates that we understand and accept the fact that sometimes things must unfold in their own time.,137,Fear
43,Earl Nightingale,We tend to live up to our expectations.,39,Fear
44,Jim Rohn,Success is nothing more than a few simple disciplines practiced every day.,74,Fear
45,Gurbaksh Chahal,Inspire yourself to be great. Being good isn't good enough.,59,Fear
46,Kenneth Branagh,Friendship is one of the most tangible things in a world which offers fewer and fewer supports.,95,Fear
47,J.R.R. Tolkien,All we have to decide is what to do with the time that is given to us.,70,Fear
48,Pema Chodron,"To be fully alive, fully human, and completely awake is to be continually thrown out of the nest.",97,Fear
49,Ayn Rand,Live and act within the limit of your knowledge and keep expanding it to the limit of your life.,96,Fear
