,author_name,quotes,char_length,keyword
0,Billie Jean King,Don't let anyone define you. You define yourself.,49,Forgiveness
1,Oscar Wilde,"There is only one thing in the world worse than being talked about, and that is not being talked about. ",104,Forgiveness
2,Zig Ziglar,"If you aim at nothing, you will hit it every time.  ",52,Forgiveness
3,Brian Tracy,Whatever you believe with feeling becomes your reality. ,56,Forgiveness
4,Charles Darwin,"If the misery of the poor be caused not by the laws of nature, but by our institutions, great is our sin.",105,Forgiveness
5,Richard Bach,"You're always free to change your mind and choose a different future, or a different past.",90,Forgiveness
6,Colin Powell,Don't bother people for help without first trying to solve the problem yourself.,80,Forgiveness
7,Benjamin Franklin,He that can have patience can have what he will.,48,Forgiveness
8,Brian Tracy,Decide upon your major definite purpose in life and then organize all your activities around it.,96,Forgiveness
9,T.S. Eliot,"Only by acceptance of the past, can you alter it.",49,Forgiveness
10,John D. Rockefeller,"Giving is the secret of a healthy life. Not necessarily money, but whatever a person has of encouragement, sympathy and understanding.",134,Forgiveness
11,Ayn Rand,"Everyone has the right to make his own decisions, but none has the right to force his decision on others.",105,Forgiveness
12,Confucius,"Life is really simple, but men insist on making it complicated. ",64,Forgiveness
13,Napoleon Hill,"Some people dream of success, while others wake up and work hard at it.",71,Forgiveness
14,Criss Jami,Persistence. Perfection. Patience. Power. Prioritize your passion. It keeps you sane.,85,Forgiveness
15,Richard Bach,True love stories never have endings.,37,Forgiveness
16,Richard Bach,"You have the freedom to be yourself, your true self, here and now, and nothing can stand in your way.",101,Forgiveness
17,Wayne Gretzky,"No matter who you are, we're creatures of habit. The better your habits are, the better they will be in pressure situations.",124,Forgiveness
18,Maxime Lagace,Difficult and meaningful will always bring more satisfaction than easy and meaningless.,87,Forgiveness
19,Kamal Ravikant,"Sometimes, the only way to evolve is to open ourselves fully.",61,Forgiveness
20,George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.,67,Forgiveness
21,Ayn Rand,Love is the expression of one's values.,39,Forgiveness
22,Elon Musk,"If life is a video game, the graphics are great, but the plot is confusing and the tutorial is way too long.",108,Forgiveness
23,Og Mandino,Each problem has a positive side.,33,Forgiveness
24,Samuel Butler,All animals except man know that the principal business of life is to enjoy it.,79,Forgiveness
25,Marilyn Monroe,Fear is stupid. So are regrets.,31,Forgiveness
26,George Eliot,Adventure is not outside man; it is within.,43,Forgiveness
27,Aristotle,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",75,Forgiveness
28,Charles Dickens,A loving heart is the truest wisdom.,36,Forgiveness
29,Sun Tzu,"To know your Enemy, you must become your Enemy.",47,Forgiveness
30,Celestine Chua,There's no next time. It's now or never.,40,Forgiveness
31,Elbert Hubbard,Allow motion to equal emotion.,30,Forgiveness
32,Gurbaksh Chahal,Fear is your worst enemy. Risk is your best friend.,51,Forgiveness
33,Miguel de Cervantes,"Too much sanity may be madness and the maddest of all, to see life as it is and not as it should be. ",101,Forgiveness
34,Eleanor Roosevelt,"Be confident, not certain.",26,Forgiveness
35,Jon Kabat-Zinn,"Note that this journey is uniquely yours, no one elses. So the path has to be your own.",87,Forgiveness
36,Bruce Lee,"The successful warrior is the average man, with laser-like focus.",65,Forgiveness
37,Adi Da Samraj,"Fear of death is fear of surrender to Infinity. Learn to surrender, to exist at Infinity while alive, and fear of death dissolves.",130,Forgiveness
38,Robin Sharma,"Change is hard at first, messy in the middle and gorgeous at the end.",69,Forgiveness
39,Theodore Roosevelt,"Unless a man is master of his soul, all other kinds of mastery amount to little.",80,Forgiveness
40,Jonathan Swift,Words are the clothing of our thoughts.,39,Forgiveness
41,Charles Dickens,There is nothing in the world so irresistibly contagious as laughter and good humor.,84,Forgiveness
42,Napoleon Hill,A goal is a dream with a deadline.,34,Forgiveness
43,Carl Jung,There's no coming to consciousness without pain,47,Forgiveness
44,Dogen,Those who seek the easy way do not seek the true way.,53,Forgiveness
45,Voltaire,It is difficult to free fools from the chains they revere. ,59,Forgiveness
46,Criss Jami,"When you're the only sane person, you look like the only insane person.",71,Forgiveness
47,Nelson Mandela,"You can start changing our world for the better daily, no matter how small the action.",86,Forgiveness
48,Jonathan Swift,It is useless to attempt to reason a man out of a thing he was never reasoned into.,83,Forgiveness
49,Niccolo Machiavelli,Make no small plans for they have no power to stir the soul.,60,Forgiveness
