,author_name,quotes,char_length,keyword
0,Eleanor Roosevelt,"Life is what you make it. Always has been, always will be.",58,Freedom
1,Eric Hoffer,Rudeness is the weak man's imitation of strength.,49,Freedom
2,Simon Sinek,The only way to ?find out if it will work out' is to do it.,59,Freedom
3,Lolly Daskal,Do not allow your inner doubts to keep you from achieving what you can do.,74,Freedom
4,Roy T. Bennett,"Follow your heart, listen to your inner voice, stop caring about what others think.",83,Freedom
5,George Washington,"The harder the conflict, the greater the triumph. ",50,Freedom
6,Josh Waitzkin,We learn by pushing ourselves and finding what really lies at the outer reaches of our abilities.,97,Freedom
7,D. H. Lawrence,"Money poisons you when you've got it, and starves you when you haven't.",71,Freedom
8,Kahlil Gibran,"To understand the heart and mind of a person, look not at what he has already achieved, but at what he aspires to.",114,Freedom
9,Jim Rohn,Take interest and even delight in doing the small things well.,62,Freedom
10,Zig Ziglar,The chief cause of failure and unhappiness is trading what you want most for what you want right now.,101,Freedom
11,D. H. Lawrence,"Be a good animal, true to your instincts.",41,Freedom
12,John D. Rockefeller,"Singleness of purpose is one of the chief essentials for success in life, no matter what may be one's aim.",106,Freedom
13,John Wooden,Make each day your masterpiece.,31,Freedom
14,Orison Swett Marden,"The golden opportunity you are seeking is in yourself. It is not in your environment; it is not in luck or chance, or the help of others; it is in yourself alone. ",163,Freedom
15,James Allen,"The law of harvest is to reap more than you sow. Sow an act, and you reap a habit. Sow a habit and you reap a character. Sow a character and you reap a destiny.",160,Freedom
16,Elon Musk,"If you need inspiration, don't do it.",37,Freedom
17,James Allen,You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,111,Freedom
18,William James,Anything you may hold firmly in your imagination can be yours.,62,Freedom
19,Leonardo da Vinci,The greatest deception men suffer is from their own opinions.,61,Freedom
20,Kenneth Branagh,Friendship is one of the most tangible things in a world which offers fewer and fewer supports.,95,Freedom
21,Rumi,"Raise your words, not voice. It is rain that grows flowers, not thunder.",72,Freedom
22,Zig Ziglar,"You don't have to be great to start, but you have to start to be great.  ",73,Freedom
23,Amelia Earhart,It is best to begin at the beginning.,37,Freedom
24,Alfred Adler,"Meanings are not determined by situations, but we determine ourselves by the meanings we give to situations.",108,Freedom
25,Mary Engelbreit,Don't ever save anything for a special occasion. Being alive is the special occasion.,85,Freedom
26,Brian Tracy,Everything you've ever wanted is on the other side of fear.,59,Freedom
27,Anne Wilson Schaef,Looking after my health today gives me a better hope for tomorrow. ,67,Freedom
28,Albert Einstein,Imagination is more important than knowledge.,45,Freedom
29,Martin Luther,"You are not only responsible for what you say, but also for what you do not say. ",81,Freedom
30,Franklin D. Roosevelt,The only thing we have to fear is fear itself.,46,Freedom
31,Napoleon Hill,"Every adversity, every failure, every heartbreak, carries with it the seed of an equal or greater benefit.",106,Freedom
32,Bruce Lee,"As you think, so shall you become. ",35,Freedom
33,Albert Einstein,Insanity: doing the same thing over and over again and expecting different results.,83,Freedom
34,Voltaire,Judge a man by his questions rather than his answers.,53,Freedom
35,Tony Robbins,"It's not what we do once in a while that shapes our lives, but what we do consistently.",87,Freedom
36,Norman Vincent Peale,No man is happy who does not think himself so.,46,Freedom
37,Celestine Chua,Stop wasting time defending your problems and work on addressing them instead.,78,Freedom
38,George Bernard Shaw,Success does not consist in never making mistakes but in never making the same one a second time.,97,Freedom
39,Napoleon Hill,Deliberately seek the company of people who influence you to think and act on building the life you desire.,107,Freedom
40,Brian Tracy,"If you want more luck, take more chances.",41,Freedom
41,Abraham Lincoln,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.,89,Freedom
42,John Wooden,Things turn out best for the people who make the best of the way things turn out.,81,Freedom
43,Jack Butcher,Make your mind your own business.,33,Freedom
44,Steve Maraboli,The universe doesn't give you what you ask for with your thoughts - it gives you what you demand with your actions.,115,Freedom
45,Zhuangzi,Cease striving. Then there will be transformation.,50,Freedom
46,Alexander Pope,"Charms strike the sight, but merit wins the soul.",49,Freedom
47,Alan Watts,"The only way to make sense out of change is to plunge into it, move with it, and join the dance.",96,Freedom
48,Henry David Thoreau,"The question is not what you look at, but what you see.",55,Freedom
49,Leo Tolstoy,Wrong does not cease to be wrong because the majority share in it.,66,Freedom
