,author_name,quotes,char_length,keyword
0,Walt Disney,The way to get started is to quit talking and begin doing.,58,Future
1,Naval Ravikant,The people who succeed are irrationally passionate about something.,67,Future
2,Franz Kafka,It is often safer to be in chains than to be free. ,51,Future
3,Brian Tracy,Most people achieved their greatest success one step beyond what looked like their greatest failure.,100,Future
4,Wayne Gretzky,You miss 100% of the shots you don't take.,42,Future
5,Kenji Miyazawa,We ordinary people must forge our own beauty.,45,Future
6,Helen Keller,"Although the world is full of suffering, it is also full of the overcoming of it.",81,Future
7,Voltaire,It is difficult to free fools from the chains they revere. ,59,Future
8,William James,Anything you may hold firmly in your imagination can be yours.,62,Future
9,Mark Twain,Never allow someone to be your priority while allowing yourself to be their option.,83,Future
10,Eckhart Tolle,Life is the dancer and you are the dance.,41,Future
11,Brian Tracy,Decide upon your major definite purpose in life and then organize all your activities around it.,96,Future
12,Bruce Lee,"Absorb what is useful, discard what is useless and add what is specifically your own.  ",87,Future
13,Betty White,Don't try to be young. Just open your mind. Stay interested in stuff.,69,Future
14,Simon Sinek,It is better to disappoint people with the truth than to appease them with a lie.,81,Future
15,Eleanor Roosevelt,"You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.",115,Future
16,Jim Rohn,Work harder on yourself than you do on your job.,48,Future
17,Martin Luther,Nothing good ever comes of violence.,36,Future
18,Franklin D. Roosevelt,Repetition does not transform a lie into a truth.,49,Future
19,Dalai Lama,Silence is sometimes the best answer,36,Future
20,Thomas Jefferson,Honesty is the first chapter in the book of wisdom.,51,Future
21,James Allen,You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,111,Future
22,Mae West,"You only live once, but if you do it right, once is enough.",59,Future
23,Bob Marley,"Love the life you live, live the life you love.",47,Future
24,Theodore Roosevelt,The most important single ingredient in the formula of success is knowing how to get along with people.,103,Future
25,Thich Nhat Hanh,"Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy.",103,Future
26,Charles Dickens,There is nothing in the world so irresistibly contagious as laughter and good humor.,84,Future
27,George Washington,"Be not glad at the misfortune of another, though he may be your enemy. ",71,Future
28,Kahlil Gibran,Beauty is not in the face; beauty is a light in the heart.,58,Future
29,Richard Bach,"You have the freedom to be yourself, your true self, here and now, and nothing can stand in your way.",101,Future
30,James Allen,"A man sooner or later discovers that he is the master-gardener of his soul, the director of his life.",101,Future
31,Isaac Newton,Truth is the offspring of silence and meditation.,49,Future
32,Roy T. Bennett,Happiness depends on your mindset and attitude.,47,Future
33,Walt Whitman,Every hour of every day is an unspeakably perfect miracle.,58,Future
34,Og Mandino,Failure is the highway to success.,34,Future
35,Honore de Balzac,All happiness depends on courage and work.,42,Future
36,Rumi,What is planted in each person's soul will sprout.  ,52,Future
37,Charles Dickens,"Family not only needs to consist of merely those whom we share blood, but also of those whom we'd give blood.",109,Future
38,Eric Hoffer,It still holds true that man is most uniquely human when he turns obstacles into opportunities.,95,Future
39,Charles Darwin,I love fools' experiments. I am always making them.,51,Future
40,Samuel Butler,"To himself everyone is immortal; he may know that he is going to die, but he can never know he is dead.",103,Future
41,Emily Dickinson,We never know how high we are till we are called to rise. Then if we are true to form our statures touch the skies.,115,Future
42,Lolly Daskal,Your purpose will be clear only when you listen to your heart.,62,Future
43,Charles Darwin,"What a book a devil's chaplain might write on the clumsy, wasteful, blundering, low, and horribly cruel work of nature!",119,Future
44,Estee Lauder,"Our life isn't how much we can take out, but how much we can put in.  ",70,Future
45,Jonathan Swift,Health is the greatest of all possessions.,42,Future
46,Robert Greene,Creative endeavors are by their nature uncertain.,49,Future
47,Laurence J. Peter,Speak when you are angry - and you'll make the best speech you'll ever regret.,78,Future
48,Earl Nightingale,Whatever we plant in our subconscious mind and nourish with repetition and emotion will one day become reality.,111,Future
49,Steve Maraboli,The beautiful journey of today can only begin when we learn to let go of yesterday.,83,Future
