,author_name,quotes,char_length,keyword
0,Napoleon Hill,It takes half your life before you discover life is a do-it-yourself project.,77,Happiness
1,Bruce Lee,"Knowing is not enough, we must apply. Willing is not enough, we must do.  ",74,Happiness
2,Lolly Daskal,Trust is the foundation of great leadership.,44,Happiness
3,Tony Robbins,The only people without problems are those in cemeteries.,57,Happiness
4,Mother Teresa,"If you can't feed a hundred people, then feed just one.",55,Happiness
5,Anne Frank,No one has ever become poor by giving.,38,Happiness
6,Bodhidharma,"Many roads lead to the path, but basically there are only two: reason and practice. ",84,Happiness
7,Audrey Hepburn,"The most important thing is to enjoy your life, to be happy, it's all that matters.",83,Happiness
8,Kamal Ravikant,Decide what your truth is. Then live it.,40,Happiness
9,Christopher McCandless,"When you want something in life, you just gotta reach out and grab it.",70,Happiness
10,Gabor Mate,"The attempt to escape from pain, is what creates more pain.",59,Happiness
11,Carlos Ruiz Zafon,"Presents are made for the pleasure of who gives them, not the merits of who receives them.",90,Happiness
12,Jonathan Swift,"A wise person should have money in their head, but not in their heart.",70,Happiness
13,Criss Jami,To share your weakness is to make yourself vulnerable; to make yourself vulnerable is to show your strength.,108,Happiness
14,Gary Keller,The majority of what you want will come from the minority of what you do.,73,Happiness
15,Celestine Chua,"Don't put off living to next week, next month, next year or next decade. The only time you're ever living is in this moment.",124,Happiness
16,Criss Jami,"Grudges are for those who insist that they are owed something; forgiveness, however, is for those who are substantial enough to move on.",136,Happiness
17,Jiddu Krishnamurti,It's beautiful to be alone. To be alone does not mean to be lonely. It means the mind is not influenced and contaminated by society.,132,Happiness
18,Og Mandino,Do all things with love.,24,Happiness
19,Johann Wolfgang von Goethe,"Life belongs to the living, and he who lives must be prepared for changes.",74,Happiness
20,J.R.R. Tolkien,Not all those who wander are lost.,34,Happiness
21,Jim Rohn,What you become is far more important than what you get.,56,Happiness
22,Steve Maraboli,The universe doesn't give you what you ask for with your thoughts - it gives you what you demand with your actions.,115,Happiness
23,Sun Tzu,Know yourself and you will win all battles.,43,Happiness
24,Og Mandino,Always seek out the seed of triumph in every adversity.,55,Happiness
25,Josh Waitzkin,We learn by pushing ourselves and finding what really lies at the outer reaches of our abilities.,97,Happiness
26,Joan Rivers,"Reading should be a pleasure, not a chore.",42,Happiness
27,Voltaire,"The more often a stupidity is repeated, the more it gets the appearance of wisdom.",82,Happiness
28,Gary Keller,Life is a question and how we live it is our answer.,52,Happiness
29,Dalai Lama,Judge your success by what you had to give up in order to get it.,65,Happiness
30,Zig Ziglar,"You already have every characteristic necessary for success if you recognize, claim, develop and use them.",106,Happiness
31,Robert Greene,Be royal in your own fashion: act like a king to be treated like one.,69,Happiness
32,Stephen King,"You can, you should, and if you're brave enough to start, you will.",67,Happiness
33,Wayne Dyer,How people treat you is their karma; how you react is yours. ,61,Happiness
34,Carl Jung,"You are what you do, not what you say you'll do.",48,Happiness
35,J.R.R. Tolkien,It is useless to meet revenge with revenge; it will heal nothing.,65,Happiness
36,Zen Proverb,No one returns from a long journey the same person they were before.,68,Happiness
37,Elbert Hubbard,"If you want work well done, select a busy man; the other kind has no time.",74,Happiness
38,Kamal Ravikant,Love yourself with the same intensity you would use to pull yourself up if you were hanging off a cliff.,104,Happiness
39,Dudley Field Malone,I have never in my life learned anything from any man who agreed with me.,73,Happiness
40,Elbert Hubbard,"To avoid criticism, do nothing, say nothing, and be nothing.",60,Happiness
41,Thomas Jefferson,Never put off to tomorrow what you can do to-day.,49,Happiness
42,Coco Chanel,Success is often achieved by those who don't know that failure is inevitable.,77,Happiness
43,Stephen Hawking,Intelligence is the ability to adapt to change.,47,Happiness
44,Unknown,"The consequences of today are determined by the actions of the past. To change your future, alter your decisions today.",119,Happiness
45,Mary Engelbreit,Bloom where you are planted!,28,Happiness
46,John Wooden,"Failure is not fatal, but failure to change might be.",53,Happiness
47,Samuel Beckett,Dance first. Think later. It's the natural order.,49,Happiness
48,Alfred Adler,It is easier to fight for one's principles than to live up to them. ,68,Happiness
49,Chinese Proverb,A clear conscience never fears midnight knocking.,49,Happiness
