,author_name,quotes,char_length,keyword
0,Marcus Aurelius,We live only now. Everything else is either passed or is unknown.,65,Inspiration
1,Niccolo Machiavelli,"It is not titles that honour men, but men that honour titles.",61,Inspiration
2,Zhuangzi,Understanding that rests in what it does not understand is the finest.,70,Inspiration
3,Marcus Aurelius,The best answer to anger is silence.,36,Inspiration
4,Robin Sharma,The purpose of life is the life of purpose.,43,Inspiration
5,Seungsahn,"If you throw away all thoughts of attainment, you will then come to see the real purpose of your quest.",103,Inspiration
6,Ayn Rand,Love is the expression of one's values.,39,Inspiration
7,Elbert Hubbard,"The friend is the man who knows all about you, and still likes you.",67,Inspiration
8,Bruce Lee,"If you put water into a cup, it becomes the cup.",48,Inspiration
9,Epictetus,Freedom is the only worthy goal in life. It is won by disregarding things that lie beyond our control.,102,Inspiration
10,Ayn Rand,"The man who does not value himself, cannot value anything or anyone.",68,Inspiration
11,Tony Robbins,"As soon as you truly commit to making something happen, the ?how' will reveal itself.",85,Inspiration
12,Jon Kabat-Zinn,It is indeed a radical act of love just to sit down and be quiet for a time by yourself.,88,Inspiration
13,Ralph Marston,What you do today can improve all your tomorrows.,49,Inspiration
14,Benjamin Franklin,A Penny Saved is a Penny Earned,31,Inspiration
15,Les Brown,"People inspire you, or they drain you. Pick them wisely.",56,Inspiration
16,Ralph Waldo Emerson,The world makes way for the man who knows where he is going.,60,Inspiration
17,Mother Teresa,Peace begins with a smile.,26,Inspiration
18,Lolly Daskal,Focus on how far you have come in life rather than looking at the accomplishments of others.,92,Inspiration
19,Carl Jung,The shoe that fits one person pinches another; there is no recipe for living that suits all cases.,98,Inspiration
20,Chinese Proverb,"The more acquaintances you have, the less you know them.",56,Inspiration
21,Les Brown,You don't get in life what you want; you get in life what you are.,66,Inspiration
22,Josh Waitzkin,Growth comes at the point of resistance.,40,Inspiration
23,Earl Nightingale,Don't concern yourself with the money. Be of service. Build. Work. Dream. Create.,81,Inspiration
24,Estee Lauder,Confidence breeds beauty.  ,27,Inspiration
25,Ming-Dao Deng,Those who attain the middle Dominate the whole.,47,Inspiration
26,Naval Ravikant,This is such a short and precious life that it's really important that you don't spend it being unhappy.,104,Inspiration
27,Sigmund Freud,"The more perfect a person is on the outside, the more demons they have on the inside.",85,Inspiration
28,W.P. Kinsella,"Success is getting what you want, happiness is wanting what you get.",68,Inspiration
29,Bruce Lee,"If you love life, don't waste time, for time is what life is made up of. ",73,Inspiration
30,Marcus Aurelius,Death smiles at us all. All we can do is smile back.,52,Inspiration
31,Christopher McCandless,Make each day a new horizon.,28,Inspiration
32,William James,Our view of the world is truly shaped by what we decide to hear.,64,Inspiration
33,Gilbert Chesterton,The way to love anything is to realize that it may be lost.,59,Inspiration
34,Colin Powell,Only by attracting the best people will you accomplish great deeds.,67,Inspiration
35,Lao Tzu,"If you do not change direction, you may end up where you are heading.",69,Inspiration
36,Carl Jung,There's no coming to consciousness without pain,47,Inspiration
37,Criss Jami,To share your weakness is to make yourself vulnerable; to make yourself vulnerable is to show your strength.,108,Inspiration
38,Maxime Lagace,"The wiser you get, the less you care to look like a fool.",57,Inspiration
39,Ming-Dao Deng,Who you are is always right.,28,Inspiration
40,Lao Tzu,Silence is a source of great strength.,38,Inspiration
41,Dale Carnegie,Knowledge isn't power until it is applied.,42,Inspiration
42,Beverly Sills,There are no shortcuts to any place worth going.,48,Inspiration
43,W.P. Kinsella,"You have to make time, even for something as universal as staring at the stars.",79,Inspiration
44,Tony Robbins,"Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more.",120,Inspiration
45,Vincent van Gogh,"If you truly love Nature, you will find beauty everywhere. ",59,Inspiration
46,Zhuangzi,Cease striving. Then there will be transformation.,50,Inspiration
47,Barack Obama,The best way to not feel hopeless is to get up and do something.,64,Inspiration
48,Criss Jami,Just because something isn't a lie does not mean that it isn't deceptive.,73,Inspiration
49,James Allen,"The more tranquil a man becomes, the greater is his success, his influence, his power for good. Calmness of mind is one of the beautiful jewels of wisdom.",154,Inspiration
