,author_name,quotes,char_length,keyword
0,Nelson Mandela,"You can start changing our world for the better daily, no matter how small the action.",86,Kindness
1,Osho,"Don't seek, don't search, don't ask, don't knock, don't demand ? relax.",71,Kindness
2,Celestine Chua,Would you rather learn to deal with the truth now than be forced to do so later on?,83,Kindness
3,Ming-Dao Deng,"Help others for all the times that you have been ignored. Be kind to others, for all the times that you have been scorned.",122,Kindness
4,Bette Midler,The worst part of success is trying to find someone who is happy for you.,73,Kindness
5,T.S. Eliot,Only those who will risk going too far can possibly find out how far one can go.,80,Kindness
6,Estee Lauder,Confidence breeds beauty.  ,27,Kindness
7,Paramahansa Yogananda,The season of failure is the best time for sowing the seeds of success. ,72,Kindness
8,Isaac Newton,Live your life as an exclamation rather than an explanation.,60,Kindness
9,Unknown,"A comfort zone is a beautiful place, but nothing ever grows there.",66,Kindness
10,Osho,Be - don't try to become ,25,Kindness
11,Gary Keller,"Success is about doing the right thing, not about doing everything right.",73,Kindness
12,Marcus Aurelius,Each day provides it's own gifts.,33,Kindness
13,Robin Sharma,We are all here for some special reason.,40,Kindness
14,Maxime Lagace,The hard path is often the right one. The river teaches more than the shore.,76,Kindness
15,Chinese Proverb,Better a diamond with a flaw than a pebble without one.,55,Kindness
16,Vince Lombardi,The measure of who we are is what we do with what we have.,58,Kindness
17,Kahlil Gibran,You give but little when you give of your possessions. It is when you give of yourself that you truly give.,107,Kindness
18,Dale Carnegie,It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,140,Kindness
19,Maxime Lagace,"Wherever you are, it's the place you need to be.",48,Kindness
20,Colin Powell,"Faults are yours to fix, not to curse.",38,Kindness
21,Bob Dylan,Don't criticize what you can't understand. ,43,Kindness
22,Eleanor Roosevelt,The giving of love is an education in itself.,45,Kindness
23,William James,Belief creates the actual fact.,31,Kindness
24,Margaret Mead,I was wise enough to never grow up while fooling most people into believing I had. ,83,Kindness
25,Eckhart Tolle,"You find peace not by rearranging the circumstances of your life, but by realizing who you are at the deepest level.",116,Kindness
26,Robin Sharma,Mistake is a mistake only if you make it twice.,47,Kindness
27,Niccolo Machiavelli,Make no small plans for they have no power to stir the soul.,60,Kindness
28,Johann Wolfgang von Goethe,None are more hopelessly enslaved than those who falsely believe they are free.,79,Kindness
29,Theodore Roosevelt,The greatest doer must also be a great dreamer.,47,Kindness
30,Samuel Butler,Words are clothes that thoughts wear,36,Kindness
31,Napoleon Hill,It takes half your life before you discover life is a do-it-yourself project.,77,Kindness
32,St. Jerome,"Good, better, best. Never let it rest. 'Til your good is better and your better is best. ",89,Kindness
33,Richard Bach,True love stories never have endings.,37,Kindness
34,Mary Engelbreit,Bloom where you are planted!,28,Kindness
35,Judy Garland,Always be a first rate version of yourself and not a second rate version of someone else.,89,Kindness
36,James Allen,Self-control is strength.,25,Kindness
37,Barack Obama,"Our stories may be singular, but our destination is shared.",59,Kindness
38,Elbert Hubbard,The sculptor produces the beautiful statue by chipping away such parts of the marble block as are not needed - it is a process of elimination.,142,Kindness
39,Richard Bach,"You're always free to change your mind and choose a different future, or a different past.",90,Kindness
40,Chinese Proverb,"If you are patient in one moment of anger, you will escape a hundred days of sorrow. ",85,Kindness
41,George Bernard Shaw,Just do what must be done. This may not be happiness but it is greatness.,73,Kindness
42,Og Mandino,"Always do your best. What you plant now, you will harvest later.",64,Kindness
43,Oprah Winfrey,You can have it all. You just can't have it all at once. ,57,Kindness
44,Robin Sharma,Success on the outside means nothing unless you also have success within.,73,Kindness
45,Johann Wolfgang von Goethe,You can easily judge the character of a man by how he treats those who can do nothing for him.,94,Kindness
46,Huang Po,"The foolish reject what they see, not what they think; the wise reject what they think, not what they see.",106,Kindness
47,Napoleon Hill,The way of success is the way of continuous pursuit of knowledge.,65,Kindness
48,Lao Tzu,Care about what other people think and you will always be their prisoner.,73,Kindness
49,Paulo Coelho,Stay away from people who makes you feel like you are wasting their time.,73,Kindness
