,author_name,quotes,char_length,keyword
0,Roy T. Bennett,"Take responsibility of your own happiness, never put it in other people's hands.",80,Leadership
1,Confucius,Death and life have their determined appointments; riches and honors depend upon heaven. ,89,Leadership
2,James Matthew Barrie,Nothing is really work unless you would rather be doing something else. ,72,Leadership
3,James Matthew Barrie,"Dreams do come true, if we only wish hard enough, You can have anything in life if you will sacrifice everything else for it.",125,Leadership
4,Bob Marley,Every man gotta right to decide his own destiny.,48,Leadership
5,Epictetus,There is only one way to happiness and that is to cease worrying about things which are beyond the power or our will.,117,Leadership
6,Anita Krizzan,When it hurts - observe. Life is trying to teach you something.,63,Leadership
7,Johann Wolfgang von Goethe,None are more hopelessly enslaved than those who falsely believe they are free.,79,Leadership
8,Wayne Dyer,How people treat you is their karma; how you react is yours. ,61,Leadership
9,Lolly Daskal,We become what we believe.,26,Leadership
10,Seneca,"You want to live but do you know how to live? You are scared of dying and tell me, is the kind of life you lead really any different from being dead?",149,Leadership
11,John Wooden,Success comes from knowing that you did your best to become the best that you are capable of becoming.,102,Leadership
12,Isaac Newton,We build too many walls and not enough bridges.,47,Leadership
13,Stephen Hawking,Remember to look up at the stars and not down at your feet.,59,Leadership
14,Christopher Reeve,Words can only have a positive effect on others if and when they are ready to listen.,85,Leadership
15,Napoleon Hill,The way of success is the way of continuous pursuit of knowledge.,65,Leadership
16,Isaac Newton,"If I have seen further than others, it is by standing upon the shoulders of giants.",83,Leadership
17,Dogen,A zen master's life is one continuous mistake.,46,Leadership
18,Kahlil Gibran,Rest in reason; move in passion.,32,Leadership
19,Gary Keller,You need to be doing fewer things for more effect instead of doing more things with side effects.,97,Leadership
20,Lolly Daskal,Don't blame others. it won't make you a better person.,54,Leadership
21,Estee Lauder,I believe that potential is unlimited - success depends on daring to act on dreams.   ,86,Leadership
22,Roy T. Bennett,Happiness depends on your mindset and attitude.,47,Leadership
23,Ming-Dao Deng,"If we know how to adapt, we end up being superior.",50,Leadership
24,Dr. Seuss,"Think and wonder, wonder and think.",35,Leadership
25,Alfred Adler,It is very obvious that we are not influenced by 'facts' but by our interpretation of the facts.,96,Leadership
26,Maxime Lagace,Show kindness but never expect it. Show authenticity but never expect it. Only the wise are indifferent to things they can't control.,133,Leadership
27,Carlos Ruiz Zafon,"Keep your dreams, you never know when you might need them.",58,Leadership
28,John Wooden,Ability is a poor man's wealth.,31,Leadership
29,John Carmack,"Focused, hard work is the real key to success.",46,Leadership
30,Henry David Thoreau,Go confidently in the direction of your dreams! Live the life you've imagined.,78,Leadership
31,Bodhidharma,Not engaging in ignorance is wisdom. ,37,Leadership
32,Og Mandino,"I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars.",108,Leadership
33,Barack Obama,"Our stories may be singular, but our destination is shared.",59,Leadership
34,Rosa Nouchette Carey,"Do it with passion, or not at all.",34,Leadership
35,"Martin Luther King, Jr.","We must accept finite disappointment, but never lose infinite hope.",67,Leadership
36,Robin Sharma,Stop being a prisoner of your past. Become the architect of your future.,72,Leadership
37,Bodhidharma,"At every moment where language can't go, that's your mind.",58,Leadership
38,Ralph Marston,"Happiness is a choice, not a result. Nothing will make you happy until you choose to be happy.",94,Leadership
39,Alexandre Dumas,All human wisdom is contained in these two words - Wait and Hope,64,Leadership
40,Vincent van Gogh,"Normality is a paved road: It's comfortable to walk,? but no flowers grow on it.",80,Leadership
41,Mae West,"The score never interested me, only the game.",45,Leadership
42,Unknown,Make your life a mission - not an intermission.,47,Leadership
43,J.R.R. Tolkien,A man that flies from his fear may find that he has only taken a short cut to meet it.,86,Leadership
44,Simon Sinek,"If you want to achieve anything in this world, you have to get used to the idea that not everyone will like you.",112,Leadership
45,Sathya Sai Baba,Discipline is the mark of intelligent living.,45,Leadership
46,Charlie Chaplin,"If you're really truthful with yourself, it's a wonderful guidance.  ",69,Leadership
47,Adi Da Samraj,Fear of death is fear of the Unknown.,37,Leadership
48,Gilbert Chesterton,"Without education, we are in a horrible and deadly danger of taking educated people seriously.",94,Leadership
49,Bette Midler,The worst part of success is trying to find someone who is happy for you.,73,Leadership
