,author_name,quotes,char_length,keyword
0,Norman Vincent Peale,No man is happy who does not think himself so.,46,Life
1,G.I. Gurdjieff,There is a cosmic law which says that every satisfaction must be paid for with a dissatisfaction.,97,Life
2,George Bernard Shaw,You use a glass mirror to see your face; you use works of art to see your soul.,79,Life
3,Osho,"Truth is not something outside to be discovered, it is something inside to be realized.",87,Life
4,Christopher Reeve,Words can only have a positive effect on others if and when they are ready to listen.,85,Life
5,Gilbert Chesterton,It isn't that they can't see the solution. It is that they can't see the problem.,81,Life
6,Jack Kerouac,"Rest and be kind, you don't have to prove anything.",51,Life
7,Jack Kerouac,"Live, travel, adventure, bless, and don't be sorry.  ",53,Life
8,Kamal Ravikant,Life is a series of choices and all we can do is make them.,59,Life
9,Colin Powell,Remain calm. Be kind.,21,Life
10,Sydney Smith,"Life is to be fortified by many friendships. To love, and to be loved, is the greatest happiness of existence.",110,Life
11,Elbert Hubbard,Allow motion to equal emotion.,30,Life
12,Richard Bach,"Every person, all the events of your life are there because you have drawn them there. What you choose to do with them is up to you.",132,Life
13,Alfred Adler,It is very obvious that we are not influenced by 'facts' but by our interpretation of the facts.,96,Life
14,Jiddu Krishnamurti,"It is truth that liberates, not your effort to be free.",55,Life
15,Dogen,"If he cannot stop the mind that seeks after fame and profit, he will spend his life without finding peace.",106,Life
16,Chinese Proverb,"Fool me once, shame on you; fool me twice, shame on me. ",56,Life
17,Seneca,Throw me to the wolves and I will return leading the pack.  ,60,Life
18,Dan Brown,Everything is possible. The impossible just takes longer.,57,Life
19,Kahlil Gibran,Beauty is not in the face; beauty is a light in the heart.,58,Life
20,Lao Tzu,"When I let go of what I am, I become what I might be.",53,Life
21,Lao Tzu,Care about what other people think and you will always be their prisoner.,73,Life
22,Bodhidharma,To seek is to suffer. To seek nothing is bliss.,47,Life
23,Roy T. Bennett,"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.",112,Life
24,Euripides,Nothing has more strength than dire necessity.,46,Life
25,Christopher Reeve,You play the hand you're dealt. I think the game's worthwhile.  ,64,Life
26,James Allen,You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,111,Life
27,Criss Jami,"Confidence is like a dragon where, for every head cut off, two more heads grow back.",84,Life
28,Carl Jung,"In all chaos there is a cosmos, in all disorder a secret order.",63,Life
29,Carlos Ruiz Zafon,"Fools talk, cowards are silent, wise men listen.",48,Life
30,Og Mandino,Today I begin a new life. I will greet this day with love in my heart.,70,Life
31,James Allen,"As a man thinketh in his heart, so shall he be.",47,Life
32,Richard Bach,"The more I want to get something done, the less I call it work.",63,Life
33,Henry Ford,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.",114,Life
34,Elon Musk,I don't ever give up. I'd have to be dead or completely incapacitated.,70,Life
35,Alan Watts,"This is the real secret of life - to be completely engaged with what you are doing in the here and now. And instead of calling it work, realize it is play.",155,Life
36,Richard Bach,A tiny change today brings a dramatically different tomorrow.,61,Life
37,Naval Ravikant,A rational person can find peace by cultivating indifference to things outside of their control.,96,Life
38,Voltaire,Every man is guilty of all the good he did not do. ,51,Life
39,Gabor Mate,"Passion creates, addiction consumes.",36,Life
40,Walt Whitman,The strongest and sweetest songs yet remain to be sung.,55,Life
41,Gilbert Chesterton,Without the rain there would be no rainbow.,43,Life
42,James Matthew Barrie,"Dreams do come true, if we only wish hard enough, You can have anything in life if you will sacrifice everything else for it.",125,Life
43,Unknown,Avoiding failure is to avoid progress.,38,Life
44,Les Brown,You are never too old to set another goal or to dream a new dream.,66,Life
45,Thomas Edison,"I have not failed. I've just found 10,000 ways that won't work.",63,Life
46,Wayne Dyer,I would rather be hated for who I am than loved for who I'm not.  ,66,Life
47,Bodhidharma,Poverty and hardship are created by false thinking.,51,Life
48,Robert Collier,All power is from within and therefore under our control.,57,Life
49,Vincent van Gogh,Only when I fall do I get up again.,35,Life
