,author_name,quotes,char_length,keyword
0,Zhuangzi,A path is made by walking on it.,32,Living
1,Celestine Chua,"Instead of thinking about what you are going to do when you retire, think about how you can do that now and make a living from it.",130,Living
2,Epictetus,"First learn the meaning of what you say, and then speak.",56,Living
3,Bob Dylan,"When you've got nothing, you've got nothing to lose.",52,Living
4,Albert Einstein,Life is like riding a bicycle. To keep your balance you must keep moving.,73,Living
5,Ralph Marston,What you do today can improve all your tomorrows.,49,Living
6,Isaac Newton,"What we know is a drop, what we don't know is an ocean. ",56,Living
7,Genghis Khan,an action committed in anger is an action doomed to failure. ,61,Living
8,Robert Collier,All power is from within and therefore under our control.,57,Living
9,Ayn Rand,The businessman's tool is value.,32,Living
10,Laurence J. Peter,An intelligence test sometimes shows a man how smart he would have been not to have taken it.,93,Living
11,Roy T. Bennett,"Great things happen to those who don't stop believing, trying, learning, and being grateful.",92,Living
12,Bruce Lee,The key to immortality is first living a life worth remembering. ,65,Living
13,Henry Ford,"Coming together is a beginning, staying together is progress, and working together is success. ",95,Living
14,Paramahansa Yogananda,Be as simple as you can be; you will be astonished to see how uncomplicated and happy your life can become.,107,Living
15,Stephen King,"The mind can calculate, but the spirit yearns, and the heart wants what the heart wants.",88,Living
16,J.R.R. Tolkien,Not all those who wander are lost.,34,Living
17,Helen Keller,Walking with a friend in the dark is better than walking alone in the light.,76,Living
18,Celestine Chua,"In order to be walked over, you have to be lying down.",54,Living
19,Estee Lauder,"First comes the shy wish. Then you must have the heart to have the dream. Then, you work, and work.  ",101,Living
20,Carol Burnett,"When you have a dream, you've got to grab it and never let go.",62,Living
21,Wayne Dyer,Go for it now. The future is promised to no one. ,49,Living
22,Sun Tzu,"To know your Enemy, you must become your Enemy.",47,Living
23,Mary Engelbreit,"Walk towards the sunshine, and the shadows will fall behind you.",64,Living
24,D. H. Lawrence,"You live by what you thrill to, and there's the end of it.",58,Living
25,Dale Carnegie,"Remember, today is the tomorrow you worried about yesterday.",60,Living
26,T.S. Eliot,Sometimes things become possible if we want them bad enough.,60,Living
27,Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them. ",70,Living
28,Zen Proverb,"Obstacles don't block the path, they are the path.",50,Living
29,Elbert Hubbard,Your neighbor is the man who needs you.,39,Living
30,Eckhart Tolle,"Pleasure is always derived from something outside you, whereas joy arises from within. ",87,Living
31,Brian Tracy,Spend eighty percent of your time focusing on the opportunities of tomorrow rather than the problems of yesterday.,114,Living
32,Les Brown,Forgive those who have hurt you.,32,Living
33,Franz Kafka,It is often safer to be in chains than to be free. ,51,Living
34,Marcus Aurelius,The best revenge is to be unlike him who performed the injury.,62,Living
35,Robert Collier,Your chances of success in any undertaking can always be measured by your belief in yourself.,93,Living
36,Bodhidharma,Freeing oneself from words is liberation. ,42,Living
37,Euripides,Nothing is hopeless; we must hope for everything.,49,Living
38,Norman Vincent Peale,"When you get up in the morning, you have two choices - either to be happy or to be unhappy. Just choose to be happy.",116,Living
39,Og Mandino,Tomorrow is only found in the calendar of fools.,48,Living
40,Robert Greene,"If the happiness and prosperity of other people depend on you, you have nothing to fear anymore.",96,Living
41,Roy T. Bennett,Start each day with a positive thought and a grateful heart.,60,Living
42,Roy T. Bennett,"Follow your heart, listen to your inner voice, stop caring about what others think.",83,Living
43,Napoleon Hill,Most great people have achieved their greatest success just one step beyond their greatest failure.,99,Living
44,Napoleon Hill,"Success is good at any age, but the sooner you find it, the longer you will enjoy it.",85,Living
45,Vincent van Gogh,I dream my painting and I paint my dream.,41,Living
46,Zig Ziglar,"Duty makes us do things well, but love makes us do them beautifully.  ",70,Living
47,Robert Greene,Be royal in your own fashion: act like a king to be treated like one.,69,Living
48,Gilbert Chesterton,A thing must be loved before it is lovable.,43,Living
49,George Eliot,It is never too late to be what you might have been.,52,Living
