,author_name,quotes,char_length,keyword
0,F. Scott Fitzgerald,The ability to hold two competing thoughts in one's mind and still be able to function is the mark of a superior mind.,118,Love
1,Publilius Syrus,It is better to learn late than never.,38,Love
2,Sun Tzu,"A leader leads by example, not by force.",40,Love
3,Lolly Daskal,Do not allow your inner doubts to keep you from achieving what you can do.,74,Love
4,Carl Bard,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending.",108,Love
5,Dr. Seuss,Why fit in when you were born to stand out?,43,Love
6,Kahlil Gibran,You talk when you cease to be at peace with your thoughts.,58,Love
7,Morgan Wootten,The big thing is to make a winning effort. I'm not obsessed with wins.,70,Love
8,Kamal Ravikant,"As you love yourself, life loves you back.",42,Love
9,Dan Brown,The power of human thought grows exponentially with the number of minds that share that thought.,96,Love
10,Jack London,"Life is not always a matter of holding good cards, but sometimes, playing a poor hand well. ",92,Love
11,Seneca,All cruelty springs from weakness.  ,36,Love
12,Lao Tzu,Care about what other people think and you will always be their prisoner.,73,Love
13,Ming-Dao Deng,Make your stand today. On this spot. On this day.,49,Love
14,Jonathan Swift,Words are the clothing of our thoughts.,39,Love
15,Kilian Jornet,"Sometimes you have to shut your eyes, so you can see the real beauty.",69,Love
16,Alexander Graham Bell,"A man, as a general rule, owes very little to what he is born with - a man is what he makes of himself.",103,Love
17,Abraham Lincoln,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.,89,Love
18,Jiddu Krishnamurti,The idea of ourselves is our escape from the fact of what we really are.,72,Love
19,Mark Twain,A clear conscience is the sure sign of a bad memory.,52,Love
20,George Eliot,Adventure is not outside man; it is within.,43,Love
21,Shunryu Suzuki,Nothing we see or hear is perfect. But right there in the imperfection is perfect reality.,90,Love
22,Simon Sinek,"Dream big. Start small. But most of all, start.",47,Love
23,Sigmund Freud,"When one does not have what one wants, one must want what one has.",66,Love
24,Ray Bradbury,Life is trying things to see if they work.,42,Love
25,Kahlil Gibran,Life without love is like a tree without blossoms or fruit.,59,Love
26,Niccolo Machiavelli,Make no small plans for they have no power to stir the soul.,60,Love
27,Charles Dickens,We need never be ashamed of our tears.,38,Love
28,Maxime Lagace,Show kindness but never expect it. Show authenticity but never expect it. Only the wise are indifferent to things they can't control.,133,Love
29,Alexandre Dumas,"Often we pass beside happiness without seeing it, without looking at it, or even if we have seen and looked at it, without recognizing it.",138,Love
30,Ayn Rand,Love is the expression of one's values.,39,Love
31,Johann Wolfgang von Goethe,A man sees in the world what he carries in his heart.,53,Love
32,Alexander Pope,"Charms strike the sight, but merit wins the soul.",49,Love
33,Carlos Ruiz Zafon,The most efficient way of rendering the poor harmless is to teach them to want to imitate the rich.,99,Love
34,Mahatma Gandhi,The best way to find yourself is to lose yourself in the service of others.,75,Love
35,Simon Sinek,"If you want to feel happy, do something for yourself. If you want to feel fulfilled, do something for someone else.",115,Love
36,Vincent van Gogh,Conscience is a man's compass. ,31,Love
37,John Wooden,Don't let making a living prevent you from making a life.,57,Love
38,Meister Eckhart,The eye with which I see God is the same eye with which God sees me.,68,Love
39,Robert Greene,"Life goes by very fast. And the worst thing in life that you can have is a job that you hate, and have no energy and creativity in.",131,Love
40,Meister Eckhart,"If the only prayer you ever say in your entire life is thank you, it will be enough.",84,Love
41,Barack Obama,"If you run you stand a chance of losing, but if you don't run you've already lost.",82,Love
42,Buddha,There is no fear for one whose mind is not filled with desires.,63,Love
43,William James,Anything you may hold firmly in your imagination can be yours.,62,Love
44,Lao Tzu,A journey of a thousand miles begins with a single step.,56,Love
45,Plato,"Human behavior flows from three main sources: desire, emotion, and knowledge.",77,Love
46,Richard Bach,"No matter how qualified or deserving we are, we will never reach a better life until we can imagine it for ourselves and allow ourselves to have it.",148,Love
47,Alexander Graham Bell,Leave the beaten track behind occasionally and dive into the woods. Every time you do you will be certain to find something you have never seen before.,151,Love
48,Robert Greene,"What kills the creative force is not age or lack of talent, but our own spirit, our own attitude.",97,Love
49,Colin Powell,Leadership is solving problems,30,Love
