,author_name,quotes,char_length,keyword
0,Cherie Gilderbloom,The best dreams happen when you're awake.,41,Pain
1,Bob Dylan,You don't need a weatherman to know which way the wind blows.,61,Pain
2,Ayn Rand,"To achieve, you need thought. You have to know what you are doing and that's real power.",88,Pain
3,Eleanor Roosevelt,"Life was meant to be lived, and curiosity must be kept alive. One must never, for whatever reason, turn his back on life.",121,Pain
4,Norman Vincent Peale,Throw your heart over the bar and your body will follow.,56,Pain
5,Ayn Rand,The businessman's tool is value.,32,Pain
6,Ayn Rand,Integrity is the ability to stand by an idea.,45,Pain
7,Roy T. Bennett,"You cannot control the behavior of others, but you can always choose how you respond to it.",91,Pain
8,Isaac Newton,No great discovery was ever made without a bold guess. ,55,Pain
9,Johann Wolfgang von Goethe,By seeking and blundering we learn.,35,Pain
10,Toni Morrison,"Definitions belong to the definers, not the defined.",52,Pain
11,Zen Proverb,"A strong man overcomes an obstacle, a wise man goes the whole way.",66,Pain
12,Eleanor Roosevelt,"You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.",115,Pain
13,Confucius,Everything has beauty but not everyone sees it.,47,Pain
14,Brian Tracy,The greatest gift that you can give to others is the gift of unconditional love and acceptance. ,96,Pain
15,Estee Lauder,"Anyone who wants to achieve a dream must stay strong, focused and steady.",73,Pain
16,Publilius Syrus,"From the errors of others, a wise man corrects his own.",55,Pain
17,Tony Robbins,"Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more.",120,Pain
18,George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.,67,Pain
19,Eric Hoffer,People who bite the hand that feeds them usually lick the boot that kicks them.,79,Pain
20,Dale Carnegie,Success is getting what you want... Happiness is wanting what you get.,70,Pain
21,Og Mandino,Never settle for the crumbs of life.,36,Pain
22,Seneca,Time heals what reason cannot.  ,32,Pain
23,Alexander Pope,"Charms strike the sight, but merit wins the soul.",49,Pain
24,Lolly Daskal,Your vision will become clear only when you can look into your own heart.,73,Pain
25,Sydney Smith,Obstacles are those frightful things you see when you take your eyes off your goals.,84,Pain
26,Alexander Pope,If you want to know what God thinks about money just look at the people He gives it to.,87,Pain
27,Robert Collier,"If you see yourself as prosperous, you will be.",47,Pain
28,Coco Chanel,The most courageous act is still to think for yourself. Aloud.,62,Pain
29,Og Mandino,If I persist long enough I will win.,36,Pain
30,Theodore Roosevelt,The greatest doer must also be a great dreamer.,47,Pain
31,Denis Waitley,"Happiness is the spiritual experience of living every minute with love, grace and gratitude.",92,Pain
32,Dalai Lama,"If you want others to be happy, practice compassion. If you want to be happy, practice compassion.",98,Pain
33,Steve Maraboli,"If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.",106,Pain
34,Kahlil Gibran,"You may forget with whom you laughed, but you will never forget with whom you wept.  ",85,Pain
35,Robert Greene,"What kills the creative force is not age or lack of talent, but our own spirit, our own attitude.",97,Pain
36,Aristotle,It is during our darkest moments that we must focus to see the light.,69,Pain
37,Lolly Daskal,Do not allow your inner doubts to keep you from achieving what you can do.,74,Pain
38,Earl Nightingale,Your world is a living expression of how you are using and have used your mind.,79,Pain
39,Ronald Reagan,"We can't help everyone, but everyone can help someone.",54,Pain
40,Sun Tzu,Wheels of justice grind slow but grind fine.,44,Pain
41,Sathya Sai Baba,"Anger, ego, jealousy are the biggest diseases,Keep yourself aloof from these three diseases.",92,Pain
42,William Faulkner,"We must be free not because we claim freedom, but because we practice it.",73,Pain
43,Babe Ruth,Never let the fear of striking out keep you from playing the game.,66,Pain
44,Sathya Sai Baba,Being a good example is the best form of service.,49,Pain
45,Zen Proverb,Don't be afraid to go slowly. Be afraid of stopping.,52,Pain
46,Morgan Wootten,Leadership starts at the top.,29,Pain
47,Woody Allen,Talent is luck. The important thing in life is courage.,55,Pain
48,Virginia Woolf,"Growing up is losing some illusions, in order to acquire others.",64,Pain
49,Wayne Dyer,Go for it now. The future is promised to no one. ,49,Pain
