,author_name,quotes,char_length,keyword
0,Carlos Ruiz Zafon,"Over time, loneliness gets inside you and doesn't go away.",58,Past
1,Gilbert Chesterton,I am not absentminded. It is the presence of mind that makes me unaware of everything else.,91,Past
2,Seneca,We suffer more often in imagination than in reality.  ,54,Past
3,Sigmund Freud,"One day, in retrospect, the years of struggle will strike you as the most beautiful.",84,Past
4,Mahatma Gandhi,"Happiness is when what you think, what you say, and what you do are in harmony.",79,Past
5,Lolly Daskal,We become what we believe.,26,Past
6,Og Mandino,Nothing is easier than fault finding.,37,Past
7,Norman Vincent Peale,Throw your heart over the bar and your body will follow.,56,Past
8,Eckhart Tolle,The primary cause of unhappiness is never the situation but your thoughts about it.,83,Past
9,Alfred Adler,Courage is the willingness to engage in a risk-taking behavior regardless of whether the consequences are unknown or possibly adverse.,134,Past
10,Roy T. Bennett,"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.",112,Past
11,Paramahansa Yogananda,"If you cling to a certain thought with dynamic will power, it finally assumes a tangible outward form.",102,Past
12,Stephen King,"You can, you should, and if you're brave enough to start, you will.",67,Past
13,Dalai Lama,"In the practice of tolerance, one's enemy is the best teacher.",62,Past
14,Colin Powell,Remain calm. Be kind.,21,Past
15,Helen Keller,Keep your face to the sunshine and you cannot see the shadows.,62,Past
16,Helen Keller,The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,114,Past
17,Ming-Dao Deng,It is secondary whether we choose belief or defiance. What is precious is that we are always able to choose.,108,Past
18,Robert Frost,The best way out is always through.,35,Past
19,Jiddu Krishnamurti,The idea of ourselves is our escape from the fact of what we really are.,72,Past
20,Colin Powell,Always show more kindness than seems necessary because the person receiving it needs it more than you will ever know.,117,Past
21,Robert Collier,Your chances of success in any undertaking can always be measured by your belief in yourself.,93,Past
22,Samuel Butler,Logic is like the sword ? those who appeal to it shall perish by it.,68,Past
23,Yoko Ono,You change the world by being yourself.,39,Past
24,Henry David Thoreau,Our truest life is when we are in dreams awake.,47,Past
25,Isaac Newton,Truth is the offspring of silence and meditation.,49,Past
26,Gilbert Chesterton,The traveler sees what he sees. The tourist sees what he has come to see.,73,Past
27,Robert Frost,Freedom lies in being bold.,27,Past
28,Thomas Edison,Opportunity is missed by most people because it is dressed in overalls and looks like work.,91,Past
29,Martin Luther,Everything that is done in the world is done by hope.,53,Past
30,Bob Dylan,"All I can do is be me, whoever that is.",39,Past
31,Mae West,"I never said it would be easy, I only said it would be worth it.",64,Past
32,Thomas Jefferson,He who knows best knows how little he knows.,44,Past
33,Conrad Hilton,"Success seems to be connected to action. Successful people keep moving. They make mistakes, but they don't quit.",112,Past
34,Alexander Pope,"Do good by stealth, and blush to find it fame.",46,Past
35,Brian Tracy,Do something to move yourself toward your major goal every day.,63,Past
36,Charles Spurgeon,"Our anxiety does not empty tomorrow of its sorrows, but only empties today of its strengths.",92,Past
37,Christopher McCandless,"Happiness is only real, when shared.",36,Past
38,Naval Ravikant,This is such a short and precious life that it's really important that you don't spend it being unhappy.,104,Past
39,Criss Jami,"A liar knows that he is a liar, but one who speaks mere portions of truth in order to deceive is a craftsman of destruction.",124,Past
40,Charles Swindoll,We are all faced with a series of great opportunities brilliantly disguised as impossible situations. ,102,Past
41,Charles Darwin,"What a book a devil's chaplain might write on the clumsy, wasteful, blundering, low, and horribly cruel work of nature!",119,Past
42,Henry Ford,Chop your own wood and it will warm you twice. ,47,Past
43,Stephen King,"Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.",89,Past
44,John D. Rockefeller,"Singleness of purpose is one of the chief essentials for success in life, no matter what may be one's aim.",106,Past
45,Denis Waitley,"Expect the best, plan for the worst, and prepare to be surprised. ",66,Past
46,Eleanor Roosevelt,Never allow a person to tell you no who doesn't have the power to say yes.,74,Past
47,Dan Brown,Sometimes a change of perspective is all it takes to see the light.,67,Past
48,Bob Proctor,If you do not get the chills when you set your goal you're not setting big enough goals.,88,Past
49,Sun Tzu,Be where your enemy is not.,27,Past
