,author_name,quotes,char_length,keyword
0,Barack Obama,Each path to knowledge involves different rules and these rules are not interchangeable.,88,Success
1,Beverly Sills,Art is the signature of civilizations. ,39,Success
2,Isaac Newton,Live your life as an exclamation rather than an explanation.,60,Success
3,Alan Watts,"It's better to have a short life that is full of what you like doing, than a long life spent in a miserable way.",112,Success
4,Elon Musk,"It's very important to like the people you work with, otherwise life and your job is gonna be quite miserable.",110,Success
5,Chinese Proverb,"The more acquaintances you have, the less you know them.",56,Success
6,Samuel Butler,"Every man's work, whether it be literature or music or pictures or architecture or anything else, is always a portrait of himself.",130,Success
7,Kamal Ravikant,"Real growth comes through intense, difficult, and challenging situations.",73,Success
8,Ming-Dao Deng,The wise accomplish all that they want without arousing the envy or scorn of others.,84,Success
9,Criss Jami,"If you build the guts to do something, anything, then you better save enough to face the consequences.",102,Success
10,Colin Powell,"Faults are yours to fix, not to curse.",38,Success
11,Shunryu Suzuki,Time goes from present to past.,31,Success
12,Bodhidharma,Freeing oneself from words is liberation. ,42,Success
13,Jack London,As one grows weaker one is less susceptible to suffering. There is less hurt because there is less to hurt.,107,Success
14,Stephen King,Fiction is the truth inside the lie.,36,Success
15,Bob Marley,Better to die fighting for freedom than be a prisoner all the days of your life.,80,Success
16,Og Mandino,"Make yourself so useful to other people, that they think you are irreplaceable.",79,Success
17,Henry Ford,"Thinking is the hardest work there is, which is probably the reason why so few engage in it.",92,Success
18,Jack Butcher,Information changes your mind. Action changes your circumstances.,65,Success
19,Babe Ruth,Never let the fear of striking out keep you from playing the game.,66,Success
20,Sathya Sai Baba,"You are not one person, but three: The one you think you are; The one others think you are; The one you really are.",115,Success
21,Eleanor Roosevelt,Light a candle instead of cursing the darkness.,47,Success
22,Steve Jobs,Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose.,118,Success
23,Christopher McCandless,"Happiness is only real, when shared.",36,Success
24,Earl Nightingale,"You do not read a book for the book's sake, but for your own.",61,Success
25,Adi Da Samraj,Everything eaten is killed. Every meal is a sacrifice.,54,Success
26,Gilbert Chesterton,Faith means believing the unbelievable.,39,Success
27,Socrates,"To find yourself, think for yourself.",37,Success
28,Margaret Mead,"Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.",129,Success
29,William James,"We are like islands in the sea, separate on the surface but connected in the deep.",82,Success
30,Jack Butcher,Changing minds is harder than finding people who already agree.,63,Success
31,Buddha,"Your work is to discover your work and then, with all your heart, to give yourself to it.",89,Success
32,Herodotus,The saddest aspect of life is that there is no one on earth whose happiness is such that he won't sometimes wish he were dead rather than alive.,144,Success
33,Og Mandino,"True wealth is of the heart, not of the purse.",46,Success
34,Simon Sinek,The only way to ?find out if it will work out' is to do it.,59,Success
35,Carlos Ruiz Zafon,"So long as we are being remembered, we remain alive.",52,Success
36,Carlos Ruiz Zafon,"The moment you stop to think about whether you love someone, you've already stopped loving that person forever.",111,Success
37,Bruce Lee,"Empty your mind, be formless.",29,Success
38,Earl Nightingale,We tend to live up to our expectations.,39,Success
39,Stephen Hawking,"However difficult life may seem, there is always something you can do and succeed at.",85,Success
40,Emily Dickinson,We turn not older with years but newer every day.,49,Success
41,Carol Burnett,"Words, once they are printed, have a life of their own.",55,Success
42,Napoleon Hill,Deliberately seek the company of people who influence you to think and act on building the life you desire.,107,Success
43,Norman Vincent Peale,One never does wrong by doing right.,36,Success
44,Jiddu Krishnamurti,The idea of ourselves is our escape from the fact of what we really are.,72,Success
45,Earl Nightingale,"We are all self-made, but only the successful will admit it.",60,Success
46,Earl Nightingale,Never give up on a dream just because of the time it will take to accomplish it. The time will pass anyway.,107,Success
47,Napoleon Hill,A goal is a dream with a deadline.,34,Success
48,Mary Engelbreit,Don't ever save anything for a special occasion. Being alive is the special occasion.,85,Success
49,Epictetus,"It is the nature of the wise to resist pleasures, but the foolish to be a slave to them.",88,Success
