,author_name,quotes,char_length,keyword
0,Bruce Lee,A wise man can learn more from a foolish question than a fool can learn from a wise answer.  ,93,Time
1,T.S. Eliot,"The journey, not the destination matters.",41,Time
2,Mahatma Gandhi,Change yourself - you are in control.,37,Time
3,Yoko Ono,Every drop in the ocean counts. ,32,Time
4,Kamal Ravikant,"It's easy to wish for health when you're sick.  When you're doing well, you need just as much vigilance.",104,Time
5,Nelson Mandela,"You can start changing our world for the better daily, no matter how small the action.",86,Time
6,Henry Ford,"Thinking is the hardest work there is, which is probably the reason why so few engage in it.",92,Time
7,John Carmack,"Focused, hard work is the real key to success.",46,Time
8,Wayne Dyer,You cannot always control what goes on outside. But you can always control what goes on inside. ,96,Time
9,Steve Maraboli,The right thing to do and the hard thing to do are usually the same.,68,Time
10,Tony Robbins,"Most people dabble their way through life, never deciding to master anything in particular.",91,Time
11,Sun Tzu,Wheels of justice grind slow but grind fine.,44,Time
12,Dale Carnegie,Talk to someone about themselves and they'll listen for hours.,62,Time
13,James Allen,They who have conquered doubt and fear have conquered failure.,62,Time
14,Jiddu Krishnamurti,The significance of life is living.,35,Time
15,Wayne Dyer,You'll see it when you believe it. ,35,Time
16,Jiddu Krishnamurti,Real learning comes about when the competitive spirit has ceased.,65,Time
17,Albus Dumbledore,"It's the unknown we fear when we look upon death and darkness, nothing more.",76,Time
18,F. Scott Fitzgerald,The world only exists in your eyes. You can make it as big or as small as you want.,83,Time
19,George Bernard Shaw,We don't stop playing because we grow old; we grow old because we stop playing.,79,Time
20,Mark Twain,The secret of getting ahead is getting started.,47,Time
21,Stephen Hawking,Life would be tragic if it weren't funny.,41,Time
22,Dogen,Life and death are of supreme importance. Time swiftly passes by and opportunity is lost.,89,Time
23,Theodore Roosevelt,The most important single ingredient in the formula of success is knowing how to get along with people.,103,Time
24,Estee Lauder,Be strong. Be confident. Be the star of your own life.,54,Time
25,Barack Obama,"it's important to make sure that we're talking with each other in a way that heals, not in a way that wounds.",109,Time
26,Denis Waitley,"Change the changeable, accept the unchangeable, and remove yourself from the unacceptable. ",91,Time
27,Sun Tzu,"It is easy to love your friend, but sometimes the hardest lesson to learn is to love your enemy.",96,Time
28,Lao Tzu,Care about what other people think and you will always be their prisoner.,73,Time
29,Theodore Roosevelt,The only man who never makes mistakes is the man who never does anything.,73,Time
30,Leonardo da Vinci,The greatest deception men suffer is from their own opinions.,61,Time
31,Tony Robbins,"For changes to be of any true value, they've got to be lasting and consistent.",78,Time
32,Will Rogers,Don't Let Yesterday Take Up Too Much Of Today.,46,Time
33,Zen Proverb,Your home is where your thoughts find peace.,44,Time
34,Criss Jami,"A liar knows that he is a liar, but one who speaks mere portions of truth in order to deceive is a craftsman of destruction.",124,Time
35,Nicolas Chamfort,It is children only who enjoy the present; their elders either live on the memory of the past or the hope of the future.,120,Time
36,Ray Bradbury,"Life is like underwear, should be changed twice a day.  ",56,Time
37,Unknown,Difficult roads often lead to beautiful destinations.,53,Time
38,St. Jerome,The friendship that can cease has never been real. ,51,Time
39,Vince Lombardi,Confidence is contagious. So is lack of confidence.,51,Time
40,Unknown,Greatest success comes just one step beyond the point at which defeat overtakes you.,84,Time
41,Criss Jami,Friends ask you questions; enemies question you.,48,Time
42,Theodore Roosevelt,"With self-discipline, almost anything is possible.",50,Time
43,Bob Proctor,If you do not get the chills when you set your goal you're not setting big enough goals.,88,Time
44,Naval Ravikant,"Study logic and math, because once you've mastered them, you won't fear any book.",81,Time
45,Criss Jami,"If ever you feel like an animal among men, be a lion.",53,Time
46,Alexander Graham Bell,When one door closes another door opens. ,41,Time
47,Jiddu Krishnamurti,It's beautiful to be alone. To be alone does not mean to be lonely. It means the mind is not influenced and contaminated by society.,132,Time
48,W. Clement Stone,Be careful the environment you choose for it will shape you; be careful the friends you choose for you will become like them.,125,Time
49,Audrey Hepburn,Nothing is impossible. The word itself says 'I'm possible!',59,Time
