,author_name,quotes,char_length,keyword
0,Roy T. Bennett,"Instead of worrying about what you cannot control, shift your energy to what you can create.",92,Truth
1,Isaac Newton,The best way to understanding is a few good examples.,53,Truth
2,Eleanor Roosevelt,Do not stop thinking of life as an adventure.,45,Truth
3,Elon Musk,People should pursue what they're passionate about. That will make them happier than pretty much anything else.,111,Truth
4,Chinese Proverb,"It is not the knowing that is difficult, but the doing. ",56,Truth
5,Orison Swett Marden,Don't wait for extraordinary opportunities. Seize common occasions and make them great.,87,Truth
6,Mother Teresa,"Intense love does not measure, it just gives.",45,Truth
7,Criss Jami,Creative people are often found either disagreeable or intimidating by mediocrities.,84,Truth
8,Robin Sharma,"Change is hard at first, messy in the middle and gorgeous at the end.",69,Truth
9,Ayn Rand,Wealth is the product of man's capacity to think.,49,Truth
10,William Faulkner,You cannot swim for new horizons until you have courage to lose sight of the shore.,83,Truth
11,T.S. Eliot,Every moment is a fresh beginning.,34,Truth
12,Lin Yutang,The busy man is never wise and the wise man is never busy.,58,Truth
13,Confucius,Never do to others what you would not like them to do to you. ,62,Truth
14,William James,"When you have to make a choice and don't make it, that is in itself a choice.",77,Truth
15,Vincent van Gogh,Conscience is a man's compass. ,31,Truth
16,Celestine Chua,Problems remain as problems because people are busy defending them rather than finding solutions.,97,Truth
17,Zig Ziglar,"Rich people have small TVs and big libraries, and poor people have small libraries and big TVs.",95,Truth
18,Lolly Daskal,"The greater the impact you want to make, the greater your influence needs to be.",80,Truth
19,Jon Kabat-Zinn,It is indeed a radical act of love just to sit down and be quiet for a time by yourself.,88,Truth
20,Albus Dumbledore,"It matters not what someone is born, but what they grow to be.",62,Truth
21,Niccolo Machiavelli,Never was anything great achieved without danger.,49,Truth
22,Tony Robbins,"The more rejection you get, the better you are, the more you've learned, the closer you are to your outcome.",108,Truth
23,James Allen,"Our life is what our thoughts make it. A man will find that as he alters his thoughts toward things and other people, things and other people will alter towards him.",165,Truth
24,Jack Kerouac,"Life must be rich and full of loving-it's no good otherwise, no good at all, for anyone.  ",90,Truth
25,Lao Tzu,At the center of your being you have the answer; you know who you are and you know what you want.,97,Truth
26,Norman Vincent Peale,Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.,147,Truth
27,Marcus Aurelius,The best revenge is to be unlike him who performed the injury.,62,Truth
28,Vince Lombardi,The only place success comes before work is in the dictionary.,62,Truth
29,W. Clement Stone,Success is achieved and maintained by those who try and keep trying. ,69,Truth
30,Og Mandino,Nothing is easier than fault finding.,37,Truth
31,Chinese Proverb,Distant water does not put out a nearby fire.,45,Truth
32,Earl Nightingale,We tend to live up to our expectations.,39,Truth
33,Grace Coddington,Always keep your eyes open. Keep watching. Because whatever you see can inspire you.,84,Truth
34,Dogen,"If you want to see things just as they are, then you yourself must practice just as you are.",92,Truth
35,Og Mandino,"Make yourself so useful to other people, that they think you are irreplaceable.",79,Truth
36,Joan Rivers,I have no methods; all I do is accept people as they are.,57,Truth
37,Audrey Hepburn,The best thing to hold onto in life is each other.,50,Truth
38,Amelia Earhart,Adventure is worthwhile in itself.,34,Truth
39,Anne Frank,No one has ever become poor by giving.,38,Truth
40,Tony Robbins,"If you do what you've always done, you'll get what you've always gotten.",72,Truth
41,Steve Maraboli,The greatest step towards a life of simplicity is to learn to let go.,69,Truth
42,James Allen,You are today where your thoughts have brought you.,51,Truth
43,Chinese Proverb,"No matter how tall the mountain is, it cannot block the sun.",60,Truth
44,T.S. Eliot,"If you do not push the boundaries, you will never know where they are.",70,Truth
45,Tony Robbins,"Why live an ordinary life, when you can live an extraordinary one.",66,Truth
46,Vince Lombardi,Winners never quit and quitters never win.,42,Truth
47,Emily Dickinson,"Till it has loved, no man or woman can become itself.",53,Truth
48,Vince Lombardi,"It's not whether you get knocked down, its whether you get back up.",67,Truth
49,Zhuangzi,Do not use life to give life to death. Do not use death to bring death to life.,79,Truth
