,author_name,quotes,char_length,keyword
0,Roy T. Bennett,Be Brave and Take Risks: You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward.,144,Work
1,Napoleon Hill,A Quitter never wins ? and ? a Winner never quits.,50,Work
2,Jim Rohn,Take care of your body. It's the only place you have to live.,61,Work
3,Kamal Ravikant,"If there's a definition of freedom, I think it's this: living life on your terms.",81,Work
4,Colin Powell,Always show more kindness than seems necessary because the person receiving it needs it more than you will ever know.,117,Work
5,James Allen,A person is only by the thoughts that he chooses.,49,Work
6,Zig Ziglar,Some people find fault like there is a reward for it.  ,55,Work
7,Henry Ford,"Failure is simply the opportunity to begin again, this time more intelligently.",79,Work
8,Jonathan Swift,"Blessed is he who expects nothing, for he shall be disappointed.",64,Work
9,Lolly Daskal,Becoming a great leader doesn't mean being perfect. it means living with your imperfections.,92,Work
10,Henry Ford,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.",114,Work
11,Robin Sharma,Investing in yourself is the best investment you will ever make.,64,Work
12,Alexandre Dumas,"Never fear quarrels, but seek hazardous adventures.",51,Work
13,Mark Twain,The secret of getting ahead is getting started.,47,Work
14,Judy Garland,"I can live without money, but I cannot live without love.",57,Work
15,Dr. Seuss,"Today you are you, that is truer than true. There is no one alive who is you-er than you.",89,Work
16,Roy T. Bennett,Be mindful. Be grateful. Be positive. Be true. Be kind.,55,Work
17,Bob Marley,"Emancipate yourself from mental slavery, none but ourselves can free our mind.",78,Work
18,Sun Tzu,"A leader leads by example, not by force.",40,Work
19,Sun Tzu,"If you are far from the enemy, make him believe you are near.",61,Work
20,James Allen,"As a man thinketh in his heart, so shall he be.",47,Work
21,Kamal Ravikant,Darkness is the absence of light.,33,Work
22,Emily Dickinson,"If I can stop one heart from breaking, I shall not live in vain.",64,Work
23,Ayn Rand,An inventor is a man who asks Why? of the universe and lets nothing stand between the answer and his mind.,106,Work
24,Joan Rivers,Life goes by fast. Enjoy it. Calm down. It's all funny.,55,Work
25,Roy T. Bennett,"Pursue what catches your heart, not what catches your eyes.",59,Work
26,Mother Teresa,Peace begins with a smile.,26,Work
27,Theodore Roosevelt,"When you're at the end of your rope, tie a knot and hold on.",60,Work
28,"Martin Luther King, Jr.",There can be no deep disappointment where there is not deep love.,65,Work
29,George Washington,Human happiness and moral duty are inseparably connected. ,58,Work
30,Meister Eckhart,The price of inaction is far greater than the cost of making a mistake.,71,Work
31,Jim Rohn,"Formal education will make you a living, self-education will make you a fortune.",80,Work
32,Brian Tracy,Do something to move yourself toward your major goal every day.,63,Work
33,Audrey Hepburn,Nothing is impossible. The word itself says 'I'm possible!',59,Work
34,Seungsahn,"When reading, only read. When eating, only eat. When thinking, only think.",74,Work
35,Henry David Thoreau,Disobedience is the true foundation of liberty. The obedient must be slaves.,76,Work
36,Robin Sharma,Mistake is a mistake only if you make it twice.,47,Work
37,Roy T. Bennett,"Life is too short to waste your time on people who don't respect, appreciate, and value you.",92,Work
38,Bob Proctor,You are the only problem you will ever have and you are the only solution.,74,Work
39,Winston Churchill,"To improve is to change, so to be perfect is to change often.",61,Work
40,Tony Robbins,"As soon as you truly commit to making something happen, the ?how' will reveal itself.",85,Work
41,Winston Churchill,"Success is not final, failure is not fatal: it is the courage to continue that counts.",86,Work
42,Robin Williams,You're only given a little spark of madness. You mustn't lose it.,65,Work
43,Samuel Beckett,Any fool can turn a blind eye but who knows what the ostrich sees in the sand.,78,Work
44,Nelson Mandela,It always seems impossible until it's done.,43,Work
45,Dr. Seuss,"Think and wonder, wonder and think.",35,Work
46,Barack Obama,"If you run you stand a chance of losing, but if you don't run you've already lost.",82,Work
47,Wayne Dyer,Go for it now. The future is promised to no one. ,49,Work
48,Carl Jung,There's no coming to consciousness without pain,47,Work
49,Celestine Chua,Life is about choice. You can choose to be a victim or anything else you like to be.,84,Work
